Track_ID,Document Title,Authors,Publication Title,Publication Year,DOI,CATEGORY
O_ISAC_023,Free-Space Optical Integrated Sensing and Communication Based on DCO-OFDM: Performance Metrics and Resource Allocation,Y. Wen; F. Yang; J. Song; Z. Han,IEEE Internet of Things Journal,2025,10.1109/JIOT.2024.3469279,WIRELESS
O_ISAC_024,Pre-Compensation of LFM Sensing Probe via Integrated Sensing and Communication over Fiber System,L. Maoqi; W. Jingchuan; L. Chen; Y. Changyuan; L. Chao,2025 30th OptoElectronics and Communications Conference (OECC) and 2025 International Conference on Photonics in Switching and Computing (PSC),2025,10.23919/OECC/PSC62146.2025.11111272,FIBER
O_ISAC_025,Optical Transport Network Optimization Supporting Integrated Sensing and Communication Services,M. Anastasopoulos; J. Gutiérrez; A. Tzanakaki,2025 Optical Fiber Communications Conference and Exhibition (OFC),2025,,WIRELESS
O_ISAC_026,W-band Photonic-based Integration of Sensing and Communication with Frequency-division Multiplexed Waveforms in Fiber-wireless Integrated Network,B. Dong; J. Jia; G. Li; J. Shi; H. Wang; J. Zhang; N. Chi,2022 Asia Communications and Photonics Conference (ACP),2022,10.1109/ACP55869.2022.10088790,FIBER
O_ISAC_027,Low Crosstalk Deep Ocean Salinity Monitoring at 2 μm Wavelength Band,Y. Li; Q. Huang; C. Wang; Y. Huang; W. Wu; J. Ran; Y. Li; J. Xue; S. Ertman; C. Lu; O. Xu; X. Dong; T. R. Woliński; P. Ping Shum,IEEE Sensors Journal,2025,10.1109/JSEN.2025.3579715,FIBER
O_ISAC_028,Performance Improvement for Symmetric Carrier-assisted Differential Detection Receiver by Pairwise Coding,Z. Huang; J. Li; X. Yu; J. He; Y. Qin; M. Xiang; S. Fu,2024 12th International Conference on Intelligent Computing and Wireless Optical Communications (ICWOC),2024,10.1109/ICWOC62055.2024.10684954,FIBER
O_ISAC_029,THz Integrated Sensing and Communication With Full-Photonic Direct LFM Reception and De-Chirping for D-Band Fiber-Wireless Network,B. Dong; Z. Li; S. Xing; Y. Liu; J. Zhao; O. Huang; J. Jia; J. Shi; Y. Zhou; H. Wang; N. Chi; J. Zhang,IEEE Transactions on Microwave Theory and Techniques,2025,10.1109/TMTT.2025.3549729,FIBER
O_ISAC_030,ReflexGest: Recognizing Hand Gestures Under VLC-Capable Lamps,Z. Liu; J. Zhu; J. Yang; Y. Sun; Y. Yang; J. Luo,IEEE Transactions on Mobile Computing,2025,10.1109/TMC.2025.3545340,WIRELESS
O_ISAC_031,Photonics-Enabled Full-Duplex Millimeter-Wave Integrated Sensing and Communication,C. Wang; Z. Lyu; L. Zhang; X. Yu,2024 Asia Communications and Photonics Conference (ACP) and International Conference on Information Photonics and Optical Communications (IPOC),2024,10.1109/ACP/IPOC63121.2024.10810000,WIRELESS
O_ISAC_032,Temperature Compensation Method for Polarization-Multiplexed Fiber-Optic Vibration Sensing Unit,R. An; Y. Wang; X. Ping; K. Wen; Y. Yuan; S. Wang; J. Yang; Y. Wang; Y. Qin,IEEE Sensors Journal,2025,10.1109/JSEN.2024.3501256,FIBER
O_ISAC_033,Simultaneous Sensing and Communication in Optical Fibers,Y. -K. Huang; E. Ip; J. Hu; M. -F. Huang; F. Yaman; T. Wang; G. Wellbrock; T. Xia; K. Asahi; Y. Aono,2022 European Conference on Optical Communication (ECOC),2022,,FIBER
O_ISAC_034,Pulse Sequence Sensing and Pulse Position Modulation for Optical Integrated Sensing and Communication,Y. Wen; F. Yang; J. Song; Z. Han,IEEE Communications Letters,2023,10.1109/LCOMM.2023.3270184,WIRELESS
O_ISAC_035,OCDM-Based FMCW Waveform Design for FSO Integrated Sensing and Communications,Z. Ban; J. Tang; Q. Xie; Y. Li,Journal of Lightwave Technology,2025,10.1109/JLT.2025.3592208,WIRELESS
O_ISAC_036,Heterogeneous Integrated III-V-on-Soi Transmitter for 6G FiWi mmWave/FSO Integrated Sensing and Communication,A. Safiriyu; M. Vargemidou; C. Vagionas; J. Ramirez; F. Salim; N. Pleros; A. Miliou; A. -L. Billabert; C. Algani,2025 European Conference on Optical Communications (ECOC),2025,10.1109/ECOC66593.2025.11263375,WIRELESS
O_ISAC_037,Linearly Polarized Mode Demultiplexing Hybrid Based on Multi-Plane Light Conversion,J. Xiang; L. Jianping; Y. Qin,2024 22nd International Conference on Optical Communications and Networks (ICOCN),2024,10.1109/ICOCN63276.2024.10648374,FIBER
O_ISAC_038,Integration of Distributed Sensing into Optical Coherent Networks through Non-Orthogonal Multiple Access,J. Wang; L. Lu; J. Zhang; A. P. T. Lau; C. Lu,2025 Optical Fiber Communications Conference and Exhibition (OFC),2025,,WIRELESS
O_ISAC_039,Visible Light Integrated Positioning and Communication: A Multi-Task Federated Learning Framework,T. Wei; S. Liu; X. Du,IEEE Transactions on Mobile Computing,2023,10.1109/TMC.2022.3207164,WIRELESS
O_ISAC_040,UAV-Aided Flying Retroreflective Optical ISAC with Angle Diversity Transmitters,W. Wang; H. Wang; Z. Zeng; C. He; C. Chen,2025 30th OptoElectronics and Communications Conference (OECC) and 2025 International Conference on Photonics in Switching and Computing (PSC),2025,10.23919/OECC/PSC62146.2025.11110803,WIRELESS
O_ISAC_041,Co-Route Fiber Recognition and Status Diagnosis Based on Integrated Sensing and Communication in 6G Transport Networks,Z. Wang; H. Yang; Y. Li; Q. Yao; T. Yu; C. Zhang; W. Liu; W. Lin; J. Zhang; Y. Liu; M. Cheriet,IEEE Internet of Things Journal,2024,10.1109/JIOT.2024.3414863,FIBER
O_ISAC_042,High-efficiency ISAC to enable sub-meter level vibration sensing for coherent fiber networks,J. Wang; L. Lu; L. Wang; Y. Yan; A. P. Tao Lau; C. Lu,2024 Optical Fiber Communications Conference and Exhibition (OFC),2024,,FIBER
O_ISAC_043,Photonic-based W-band Flexible TFDM Integrated Sensing and Communication System for Fiber-wireless Network,B. Dong; J. Jia; G. Li; J. Shi; H. Wang; Z. Tang; J. Zhang; S. Pan; N. Chi,2023 Optical Fiber Communications Conference and Exhibition (OFC),2023,10.1364/OFC.2023.W4J.5,FIBER
O_ISAC_044,Photonic-Based W-Band Integrated Sensing and Communication System With Flexible Time- Frequency Division Multiplexed Waveforms for Fiber-Wireless Network,B. Dong; J. Jia; L. Tao; G. Li; Z. Li; C. Huang; J. Shi; H. Wang; Z. Tang; J. Zhang; S. Pan; N. Chi,Journal of Lightwave Technology,2024,10.1109/JLT.2024.3354070,FIBER
O_ISAC_045,Simultaneous Sensing and Communication Over 20 km Fiber Based on Si3N4 Micro-Ring,Y. Qiu; X. Ou; M. Luo; C. Yang; Z. He; X. Xiao; Y. Yang; J. Tao,2024 Conference on Lasers and Electro-Optics Pacific Rim (CLEO-PR),2024,10.1109/CLEO-PR60912.2024.10676568,FIBER
O_ISAC_046,Co-Wavelength-Channel Integration of Ultra-Low-Frequency Distributed Acoustic Sensing and High-Capacity Communication,L. Gu; M. Xiang; Z. Zhang; C. Liu; P. Xu; W. Sun; J. Yang; S. Fu; Y. Wang; Y. Qin,2024 Asia Communications and Photonics Conference (ACP) and International Conference on Information Photonics and Optical Communications (IPOC),2024,10.1109/ACP/IPOC63121.2024.10810040,FIBER
O_ISAC_047,Zero-Padding 2D-DFT Scheme for Photonics-Assisted W-Band Fiber-Wireless ISAC System With Orthogonal Time Frequency Space Modulation,J. He; L. Yin; K. Liu; S. Xiao; Z. Chen,Journal of Lightwave Technology,2025,10.1109/JLT.2025.3602312,FIBER
O_ISAC_048,Power Allocation for OFDM-Based Free Space Optical Integrated Sensing and Communication,Y. Wen; F. Yang; J. Song; Z. Han,ICC 2024 - IEEE International Conference on Communications,2024,10.1109/ICC51166.2024.10622583,WIRELESS
O_ISAC_049,Joint Optimization of Slot Selection and Power Allocation in Integrated Visible Light Communication and Sensing Systems,J. -Y. Wang; H. -N. Yang; J. -B. Wang; M. Lin; P. Shi,IEEE Internet of Things Journal,2023,10.1109/JIOT.2023.3303137,WIRELESS
O_ISAC_050,Visible Light Communication-Enabled Simultaneous Position and Orientation Detection for Harnessing Multipath Interference and Random Fading,B. Zhou; A. Liu; H. C. So,IEEE Transactions on Intelligent Transportation Systems,2024,10.1109/TITS.2023.3324361,WIRELESS
O_ISAC_051,Remote Phase-Shift LiDAR With Communication,Y. Hai; Y. Luo; C. Liu; A. Dang,IEEE Transactions on Communications,2023,10.1109/TCOMM.2023.3233962,WIRELESS
O_ISAC_052,Adaptive Resource Allocation in ADO-OFDM for Optical Wireless Integrated Sensing and Communication,Y. Wen; F. Yang; J. Song; Z. Han,GLOBECOM 2024 - 2024 IEEE Global Communications Conference,2024,10.1109/GLOBECOM52923.2024.10901628,WIRELESS
O_ISAC_053,Integrated Sensing and Communication in the Visible Spectral Range: A Novel Closed Loop Controller,C. Fragner; A. P. Weiss; F. P. Wenzl; E. Leitgeb,2022 International Conference on Broadband Communications for Next Generation Networks and Multimedia Applications (CoBCom),2022,10.1109/CoBCom55489.2022.9880677,WIRELESS
O_ISAC_054,Optical Integrated Sensing and Communication With Light-Emitting Diode,R. Zhang; Y. Shao; M. Li; L. Lu; Y. C. Eldar,IEEE Internet of Things Journal,2025,10.1109/JIOT.2024.3523045,WIRELESS
O_ISAC_055,Free Space Optical Integrated Sensing and Communication Based on LFM and CPM,Y. Wen; F. Yang; J. Song; Z. Han,IEEE Communications Letters,2024,10.1109/LCOMM.2023.3332658,WIRELESS
O_ISAC_056,Optical ISAC: Fundamental Performance Limits and Transceiver Design,A. G. Khorasgani; M. Mirmohseni; A. Elzanaty,2024 IEEE Globecom Workshops (GC Wkshps),2024,10.1109/GCWkshp64532.2024.11101062,WIRELESS
O_ISAC_057,60-GHz photonic millimeter-wave joint radar-communication system,W. Bai; X. Zou; P. Li; W. Pan; L. Yan; B. Luo,2021 International Conference on Microwave and Millimeter Wave Technology (ICMMT),2021,10.1109/ICMMT52847.2021.9618314,WIRELESS
O_ISAC_058,Photonic-Based Flexible Integrated Sensing and Communication With Multiple Targets Detection Capability for W-Band Fiber-Wireless Network,B. Dong; J. Jia; Z. Li; G. Li; J. Shi; H. Wang; N. Chi; J. Zhang,IEEE Transactions on Microwave Theory and Techniques,2024,10.1109/TMTT.2024.3355936,FIBER
O_ISAC_059,Terrestrial and Non-Terrestrial Networks for Integrated Sensing and Communication,F. Matera; M. Settembre; A. Rago; A. Fascista; G. Piro; L. A. Grieco; F. Malandrino; G. Virone; E. Cianca; M. Ruggieri; S. Morosi,2024 IEEE International Symposium on Systems Engineering (ISSE),2024,10.1109/ISSE63315.2024.10741118,WIRELESS
O_ISAC_060,A Unified Waveform for Optical Wireless Integrated Sensing and Communication,M. Cao; Y. Wang; Y. Zhang; D. Gao; H. Zhou,2022 Asia Communications and Photonics Conference (ACP),2022,10.1109/ACP55869.2022.10088865,WIRELESS
O_ISAC_061,Optical Wireless Integrated Sensing and Communication Based on Optical Phased Array: Performance Metric and Optimal Beamforming,Y. Wen; F. Yang; J. Song; Z. Han,IEEE Transactions on Wireless Communications,2025,10.1109/TWC.2025.3559254,WIRELESS
O_ISAC_062,6-DoF Location-and-Pose Estimation Toward Integrated Visible Light Communication and Sensing: Algorithm Design and Performance Limits,B. Zhou; X. Wang; Y. Shen; P. Fan,IEEE Transactions on Signal Processing,2024,10.1109/TSP.2024.3383285,WIRELESS
O_ISAC_063,Simple and Precise Characterization of Full-Field Frequency Response for Coherent TOSA,R. Wu; J. Li; G. Zhou; M. Xiang; L. Zhang; Y. Qin; S. Fu,Journal of Lightwave Technology,2024,10.1109/JLT.2024.3352493,FIBER
O_ISAC_064,Integrated Sensing and Communications for Metropolitan Environments,Y. Yan; J. Zhang; Y. Li; L. Lu; J. Wang; K. Chandramouli; C. Lu; A. P. T. Lau,2025 Optical Fiber Communications Conference and Exhibition (OFC),2025,,FIBER
O_ISAC_065,THz-Over-Fiber System With Orthogonal Chirp Division Multiplexing for Integrated Sensing and Communication,L. Li; L. Zhang; H. Zhang; Z. Lyu; Z. Yang; X. Pang; V. Bobrovs; O. Ozolins; H. Zhao; F. Li; C. Zhang; X. Yu,Journal of Lightwave Technology,2024,10.1109/JLT.2023.3311645,FIBER
O_ISAC_066,Pre-Distortion of Soliton Collision in Dual-Polarization Interaction-Tolerant Soliton Transmission,G. Zhou; M. Xiang; A. P. T. Lau; S. Fu; Y. Qin,Journal of Lightwave Technology,2025,10.1109/JLT.2024.3483289,FIBER
O_ISAC_067,Measurement-based Validation of Ray-tracing Model at sub-THz for ISAC Applications of Blockage in Industrial Scenario,D. Dupleich; D. Sitdikov; A. Ebert; M. Boban,2024 4th URSI Atlantic Radio Science Meeting (AT-RASC),2024,10.46620/URSIATRASC24/MKTB3572,WIRELESS
O_ISAC_068,Joint Communication and Sensing Prospects: Potential Through Visible Light,Z. Salem; C. Krutzler; A. Peter,2024 International Conference on Broadband Communications for Next Generation Networks and Multimedia Applications (CoBCom),2024,10.1109/CoBCom62281.2024.10631227,WIRELESS
O_ISAC_069,Advanced Signal Processing in Distributed Acoustic Sensors Based on Submarine Cables for Seismology Applications,S. Chen; J. Han; Q. Sui; K. Zhu; C. Lu; Z. Li,Journal of Lightwave Technology,2023,10.1109/JLT.2023.3273268,FIBER
O_ISAC_070,Exploring Photonic THz-ISAC Systems with Integrated Waveforms,Z. Lyu; L. Zhang; Q. Deng; X. Fang; L. Bai; Y. -T. Sun; O. Ozolins; G. Liu; X. Pang; X. Yu,Journal of Lightwave Technology,2025,10.1109/JLT.2025.3615209,FIBER
O_ISAC_071,Full-Duplex RO-ISAC System: Wavelength Division Duplexing and Hybrid Waveform Design,S. Chen; C. Chen; Z. Zeng; Y. Yang; H. Haas,IEEE Photonics Technology Letters,2025,10.1109/LPT.2025.3570997,WIRELESS
O_ISAC_072,Integrated Vibration Sensing in DSCM Systems Under ECLs Based on ANN and Digital Twin,B. Yang; S. Wang; J. Tang; Y. Yang,2025 23rd International Conference on Optical Communications and Networks (ICOCN),2025,10.1109/ICOCN67308.2025.11145413,WIRELESS
O_ISAC_073,Clock and Carrier Synchronization Using Optical Frequency Combs in Radio Access Networks,A. Alshehry; A. Kassem; Z. Liu; I. Darwazeh,2025 31st International Conference on Telecommunications (ICT),2025,10.1109/ICT65093.2025.11046275,FIBER
O_ISAC_074,Endogenous ISAC Enabled Interference Fading Free Sensing via Telecom Training Sequence,Y. Wang; L. Wang; Z. Lin; C. Lu; M. Tang; C. Yu,2025 30th OptoElectronics and Communications Conference (OECC) and 2025 International Conference on Photonics in Switching and Computing (PSC),2025,10.23919/OECC/PSC62146.2025.11110297,FIBER
O_ISAC_075,Flexible Waveform Design for RO-ISAC Based on OFDM-Embedded Maximum Length Sequence,J. Du; C. Chen; Z. Zeng; D. Wang; J. Ye; J. Song; H. Haas,IEEE Wireless Communications Letters,2025,10.1109/LWC.2025.3593253,WIRELESS
O_ISAC_076,Integrated Communication and Enhanced Forward Phase-Based Sensing Based on Frequency-Domain Pilot Tones in DSCM Systems Using 100 kHz ECLs,B. Yang; J. Tang; C. Cheng; L. Fan; P. Yang; S. Wang; T. Zhao; J. Liang; S. Gao; J. Wei; Y. Yao; Y. Yang,Journal of Lightwave Technology,2025,10.1109/JLT.2024.3510371,WIRELESS
O_ISAC_077,THz-over-fiber system with orthogonal chirp division multiplexing for integrated sensing and communication,L. Li; L. Zhang; H. Zhang; Z. Lyu; Z. Yang; C. Zhang; X. Yu,2023 Opto-Electronics and Communications Conference (OECC),2023,10.1109/OECC56963.2023.10209717,FIBER
O_ISAC_078,O-Band DML Enabled 4×100G Short-Reach Photonic Interconnections With Weighted Decision Aided Recurrent Neural Network,H. Liang; M. Xiang; J. Xiang; Y. Qiu; S. Fu; Y. Qin,Journal of Lightwave Technology,2025,10.1109/JLT.2025.3565115,FIBER
O_ISAC_079,LFM Carrier Enabled Integrated Sensing and Communication in Self-homodyne Coherent Detection Transmission System,S. Chen; B. Yin; H. He; Y. Shi; M. Zhang; Z. Zhao; M. Tang,2025 European Conference on Optical Communications (ECOC),2025,10.1109/ECOC66593.2025.11262927,WIRELESS
O_ISAC_080,Integrated Communication and In-band Spectrum Polarization-Based Sensing via Fraction-Division Non-Orthogonal Multiple Access,L. Wang; Y. Wang; Y. Li; Z. Lin; Z. Wei; C. Lu; C. Yu; M. Tang,Journal of Lightwave Technology,2025,10.1109/JLT.2025.3625373,FIBER
O_ISAC_081,Traveling Wave Antenna-on-Display Featuring Simultaneous 2-D Phase and Frequency Beam Scanning for Integrated Sensing and Communication,D. Lee; W. Hong,2025 19th European Conference on Antennas and Propagation (EuCAP),2025,10.23919/EuCAP63536.2025.10999638,WIRELESS
O_ISAC_082,Signal-Signal Beating Interference: From Destructive to Constructive for Photonic THz Integrated Sensing and Communication System Using Self-Coherent OFDM,F. Liu; X. Zou; N. Zhong; X. Deng; L. Yan; W. Pan,IEEE Transactions on Microwave Theory and Techniques,2025,10.1109/TMTT.2025.3638469,FIBER
O_ISAC_083,Towards Efficient Confluent Edge Networks,R. Raj; D. Dass; K. Kaeval; S. Patri; V. Sleiffer; B. Baeuerle; W. Heni; M. Ruffini; C. Browning; A. Naughton; R. Mackey; D. Mackey; B. Vukovic; J. Smajic; J. Leuthold; C. Natalino; L. Wosinska; T. Svensson; A. Kaszubowska-Anandarajah; I. Mesogiti; S. Pryor; A. Tzanakaki; R. Nejabati; P. Monti; D. Kilper,2024 Joint European Conference on Networks and Communications & 6G Summit (EuCNC/6G Summit),2024,10.1109/EuCNC/6GSummit60053.2024.10597093,WIRELESS
O_ISAC_084,LumiPane: Intelligent Interaction through Gesture Sensing and Ambient Light Communication,L. Ruan; C. Liang; J. Yin; J. Li; X. Liang; W. Ding,2024 IEEE Globecom Workshops (GC Wkshps),2024,10.1109/GCWkshp64532.2024.11101040,WIRELESS
O_ISAC_085,Flexible Vibration Sensing Using Kalman Smoother Integrated in ECL-Based Communication Systems,B. Yang; J. Tang; S. Gao; J. Liang; J. Wei; Y. Yang,IEEE Photonics Technology Letters,2025,10.1109/LPT.2025.3577173,WIRELESS
O_ISAC_086,Photonics-assisted Millimeter-Wave Multiband Integrated Sensing and Communication System Using Coherent Receiving,W. Bai; P. Li; X. Zou; N. Zhong; W. Pan; X. Deng; L. Yan,IEEE Journal of Selected Topics in Quantum Electronics,2023,10.1109/JSTQE.2023.3276903,WIRELESS
O_ISAC_087,C-Band 200 Gbit/s/λ PS-PAM-8 Transmission Over 2-km SSMF for Optical Interconnections,X. Huo; M. Xiang; G. Zhou; J. Li; J. Li; Y. Qin; S. Fu,IEEE Photonics Journal,2024,10.1109/JPHOT.2024.3381232,FIBER
O_ISAC_088,Optical Transport Networks Supporting Integrated Communications and Sensing in 6G,A. Tzanakaki; M. Anastasopoulos,2025 European Conference on Optical Communications (ECOC),2025,10.1109/ECOC66593.2025.11263441,WIRELESS
O_ISAC_089,"Free Space Optical Communication for Inter-Satellite Link: Architecture, Potentials and Trends",G. Wang; F. Yang; J. Song; Z. Han,IEEE Communications Magazine,2024,10.1109/MCOM.002.2300024,WIRELESS
O_ISAC_090,Demonstration of High Sensitivity Detection and High Precision Localization of Vibrations in Bidirectional Coherent Transmission Systems Enabled by Carrier Laser Phase Noise Retrieval,Y. Hu; K. Zhang; M. E. Mousa-Pasandi; R. Gutiérrez-Castrejón; M. O'Sullivan; F. Kong; B. Buscaino; J. Zhang; S. Bernal; C. St-Arnault; D. V. Plant,Journal of Lightwave Technology,2025,10.1109/JLT.2025.3593142,FIBER
O_ISAC_091,Optimal Beamforming for Optical Wireless Integrated Sensing and Communication Based on Optical Phased Array,Y. Wen; F. Yang; J. Song; Z. Han,ICC 2025 - IEEE International Conference on Communications,2025,10.1109/ICC52391.2025.11160979,WIRELESS
O_ISAC_092,PAM Waveform Design for Joint Communication and Sensing Based on Visible Light,J. Wang; N. Huang; C. Gong; W. Wang; X. Li,IEEE Internet of Things Journal,2024,10.1109/JIOT.2024.3373447,WIRELESS
O_ISAC_093,Multi-Modal Integrated Sensing and Communication in Internet of Things With Large Language Models,A. Liu; W. Jiang; S. Huang; Z. Feng,IEEE Internet of Things Magazine,2025,10.1109/MIOT.2025.3575888,WIRELESS
O_ISAC_094,Perception-Enhanced Multitask Multimodal Semantic Communication for UAV-Assisted Integrated Sensing and Communication System,Z. Guo; H. Tong; Z. Zhang; D. Liu,2025 IEEE International Conference on Communications Workshops (ICC Workshops),2025,10.1109/ICCWorkshops67674.2025.11162428,WIRELESS
O_ISAC_095,A Spectrum-Efficient MoF Architecture for Joint Sensing and Communication in B5G Based on Polarization Interleaving and Polarization-Insensitive Filtering,M. Lei; M. Zhu; B. Hua; J. Zhang; Y. Cai; Y. Zou; X. Liu; J. Yu,Journal of Lightwave Technology,2022,10.1109/JLT.2022.3181608,FIBER
O_ISAC_096,Nanoantennas and Nanoradars: The Future of Integrated Sensing and Communication at the Nanoscale,M. J. Fakhimi; O. B. Akan,"IEEE Transactions on Molecular, Biological, and Multi-Scale Communications",2024,10.1109/TMBMC.2024.3434545,WIRELESS
O_ISAC_097,Microwave Photonic Integrated Sensing and Communication Based on Polarization Multiplexing and Frequency-to-Time Mapping,J. Gao; D. Liang; T. Shi; Y. Chen,IEEE Internet of Things Journal,2025,10.1109/JIOT.2025.3542099,FIBER
O_ISAC_098,Optical Integrated Sensing and Communication System Based on Combination of OIRS and PD Array for Mobile Scenarios,H. Wang; Z. Zhang; Y. Ge; B. Zhu,IEEE Transactions on Wireless Communications,2024,10.1109/TWC.2024.3484569,WIRELESS
