paper_id,resolution_defensibility_label,snr_plane_label,rule_applied,markdown_path,extraction_json_path
O_ISAC_199,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_199/O_ISAC_199.md,data/extraction_results_v4/extraction_v4_unified.json[176]
O_ISAC_200,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_200/O_ISAC_200.md,data/extraction_results_v4/extraction_v4_unified.json[177]
O_ISAC_201,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_202,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_202/O_ISAC_202.md,data/extraction_results_v4/extraction_v4_unified.json[178]
O_ISAC_203,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_203/O_ISAC_203.md,data/extraction_results_v4/extraction_v4_unified.json[179]
O_ISAC_204,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_205,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_206,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_206/O_ISAC_206.md,data/extraction_results_v4/extraction_v4_unified.json[180]
O_ISAC_207,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_208,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_209,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_210,AMBIGUOUS,AMBIGUOUS,,,
