paper_id,section2_anchor,resolution_defensibility_label,snr_plane_label,rule_applied,markdown_path,extraction_json_path
O_ISAC_085,II-D,AMBIGUOUS,OSNR_PLANE,RES_COOC|OSNR_TEXT|SNR_COOC,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_085\O_ISAC_085.md,data/extraction_results_v4/extraction_v4_unified.json[84]
O_ISAC_086,II-D,AMBIGUOUS,AMBIGUOUS,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_086\O_ISAC_086.md,data/extraction_results_v4/extraction_v4_unified.json[85]
O_ISAC_088,II-UNK,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_088\O_ISAC_088.md,data/extraction_results_v4/extraction_v4_unified.json[86]
O_ISAC_089,II-UNK,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_089\O_ISAC_089.md,data/extraction_results_v4/extraction_v4_unified.json[87]
O_ISAC_090,II-UNK,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_090\O_ISAC_090.md,data/extraction_results_v4/extraction_v4_unified.json[88]
O_ISAC_091,II-UNK,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_091\O_ISAC_091.md,data/extraction_results_v4/extraction_v4_unified.json[89]
O_ISAC_092,II-UNK,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_092\O_ISAC_092.md,data/extraction_results_v4/extraction_v4_unified.json[90]
O_ISAC_093,II-UNK,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_093\O_ISAC_093.md,data/extraction_results_v4/extraction_v4_unified.json[91]
O_ISAC_094,II-A,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_094\O_ISAC_094\O_ISAC_094.md,data/extraction_results_v4/extraction_v4_unified.json[92]
O_ISAC_095,II-UNK,AMBIGUOUS,AMBIGUOUS,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_095\O_ISAC_095\O_ISAC_095.md,data/extraction_results_v4/extraction_v4_unified.json[93]
O_ISAC_096,II-UNK,AMBIGUOUS,AMBIGUOUS,SNR_COOC,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_096\O_ISAC_096\O_ISAC_096.md,data/extraction_results_v4/extraction_v4_unified.json[94]
O_ISAC_097,II-D,AMBIGUOUS,AMBIGUOUS,SNR_COOC,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_097\O_ISAC_097\O_ISAC_097.md,data/extraction_results_v4/extraction_v4_unified.json[95]
