paper_id,resolution_defensibility_label,snr_plane_label,rule_applied,markdown_path,extraction_json_path
O_ISAC_154,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_154/O_ISAC_154/O_ISAC_154.md,data/extraction_results_v4/extraction_v4_unified.json[152]
O_ISAC_155,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_155/O_ISAC_155/O_ISAC_155.md,data/extraction_results_v4/extraction_v4_unified.json[153]
O_ISAC_156,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_156/O_ISAC_156/O_ISAC_156.md,data/extraction_results_v4/extraction_v4_unified.json[154]
O_ISAC_157,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_157/O_ISAC_157/O_ISAC_157.md,data/extraction_results_v4/extraction_v4_unified.json[155]
O_ISAC_158,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_158/O_ISAC_158/O_ISAC_158.md,data/extraction_results_v4/extraction_v4_unified.json[156]
O_ISAC_159,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_159/O_ISAC_159/O_ISAC_159.md,data/extraction_results_v4/extraction_v4_unified.json[157]
O_ISAC_160,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_160/O_ISAC_160.md,data/extraction_results_v4/extraction_v4_unified.json[158]
O_ISAC_161,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_161/O_ISAC_161.md,data/extraction_results_v4/extraction_v4_unified.json[159]
O_ISAC_162,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_162/O_ISAC_162.md,data/extraction_results_v4/extraction_v4_unified.json[160]
O_ISAC_163,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_163/O_ISAC_163.md,data/extraction_results_v4/extraction_v4_unified.json[161]
O_ISAC_164,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_164/O_ISAC_164.md,data/extraction_results_v4/extraction_v4_unified.json[162]
O_ISAC_165,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_165/O_ISAC_165.md,data/extraction_results_v4/extraction_v4_unified.json[163]
