paper_id,resolution_defensibility_label,snr_plane_label,rule_applied,markdown_path,extraction_json_path
O_ISAC_185,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_185/O_ISAC_185.md,data/extraction_results_v4/extraction_v4_unified.json[169]
O_ISAC_186,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_186/O_ISAC_186.md,data/extraction_results_v4/extraction_v4_unified.json[170]
O_ISAC_187,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_187/O_ISAC_187.md,data/extraction_results_v4/extraction_v4_unified.json[171]
O_ISAC_188,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_188/O_ISAC_188.md,data/extraction_results_v4/extraction_v4_unified.json[172]
O_ISAC_189,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_189/O_ISAC_189.md,data/extraction_results_v4/extraction_v4_unified.json[173]
O_ISAC_190,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_190/O_ISAC_190.md,data/extraction_results_v4/extraction_v4_unified.json[174]
O_ISAC_191,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_192,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_193,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_194,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_195,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_195/O_ISAC_195.md,data/extraction_results_v4/extraction_v4_unified.json[175]
O_ISAC_196,AMBIGUOUS,AMBIGUOUS,,,
