paper_id,resolution_defensibility_label,snr_plane_label,rule_applied,markdown_path,extraction_json_path
O_ISAC_130,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_130/O_ISAC_130/O_ISAC_130.md,data/extraction_results_v4/extraction_v4_unified.json[128]
O_ISAC_131,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_131/O_ISAC_131/O_ISAC_131.md,data/extraction_results_v4/extraction_v4_unified.json[129]
O_ISAC_132,AMBIGUOUS,OSNR_PLANE,OSNR_TEXT,data/processed_markdowns/O_ISAC_132/O_ISAC_132/O_ISAC_132.md,data/extraction_results_v4/extraction_v4_unified.json[130]
O_ISAC_133,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_133/O_ISAC_133/O_ISAC_133.md,data/extraction_results_v4/extraction_v4_unified.json[131]
O_ISAC_134,DRMIN_DEFENSIBLE,AMBIGUOUS,DRMIN_TEXT,data/processed_markdowns/O_ISAC_134/O_ISAC_134/O_ISAC_134.md,data/extraction_results_v4/extraction_v4_unified.json[132]
O_ISAC_135,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_135/O_ISAC_135/O_ISAC_135.md,data/extraction_results_v4/extraction_v4_unified.json[133]
O_ISAC_136,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_136/O_ISAC_136/O_ISAC_136.md,data/extraction_results_v4/extraction_v4_unified.json[134]
O_ISAC_137,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_137/O_ISAC_137/O_ISAC_137.md,data/extraction_results_v4/extraction_v4_unified.json[135]
O_ISAC_138,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_138/O_ISAC_138/O_ISAC_138.md,data/extraction_results_v4/extraction_v4_unified.json[136]
O_ISAC_139,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_139/O_ISAC_139/O_ISAC_139.md,data/extraction_results_v4/extraction_v4_unified.json[137]
O_ISAC_140,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_140/O_ISAC_140/O_ISAC_140.md,data/extraction_results_v4/extraction_v4_unified.json[138]
O_ISAC_141,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_141/O_ISAC_141/O_ISAC_141.md,data/extraction_results_v4/extraction_v4_unified.json[139]
