paper_id,resolution_defensibility_label,snr_plane_label,rule_applied,markdown_path,extraction_json_path
O_ISAC_218,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_218/O_ISAC_218.md,data/extraction_results_v4/extraction_v4_unified.json[181]
O_ISAC_219,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_219/O_ISAC_219.md,data/extraction_results_v4/extraction_v4_unified.json[182]
O_ISAC_220,AMBIGUOUS,AMBIGUOUS,,data/processed_markdowns/O_ISAC_220/O_ISAC_220.md,data/extraction_results_v4/extraction_v4_unified.json[183]
O_ISAC_221,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_222,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_223,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_224,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_225,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_226,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_227,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_228,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_229,AMBIGUOUS,AMBIGUOUS,,,
