paper_id,gap_id,gap_label,coverage_score,justification_excerpt,where_in_paper,source_locator,confidence
O_ISAC_160,G1,Terminology harmonization,0,,,,0.6
O_ISAC_160,G2,Metric normalization,0,,,,0.6
O_ISAC_160,G3,Cross-modality benchmarking,0,,,,0.6
O_ISAC_160,G4,Cross-domain transfer,0,,,,0.6
O_ISAC_160,G5,Unified PHY framework/taxonomy,0,,,,0.6
O_ISAC_160,G6,System-level co-design,3,"However, the scalability of these methods is limited while the node mobility in V2X scenarios is neglected.",I. INTRODUCTION > B. AI-BASED METHOD FOR PREDICTING PATH LOSS,I. INTRODUCTION > B. AI-BASED METHOD FOR PREDICTING PATH LOSS (L59),0.8
O_ISAC_160,G7,Systematic methodology,0,,,,0.6
O_ISAC_163,G1,Terminology harmonization,0,,,,0.6
O_ISAC_163,G2,Metric normalization,0,,,,0.6
O_ISAC_163,G3,Cross-modality benchmarking,0,,,,0.6
O_ISAC_163,G4,Cross-domain transfer,0,,,,0.6
O_ISAC_163,G5,Unified PHY framework/taxonomy,0,,,,0.6
O_ISAC_163,G6,System-level co-design,3,"When the location of each user equipment (UE) is known, accurate modeling of the urban environment can also be applied,",C. Location-Aware Communications,C. Location-Aware Communications (L39),0.8
O_ISAC_163,G7,Systematic methodology,0,,,,0.6
O_ISAC_218,G1,Terminology harmonization,0,,,,0.6
O_ISAC_218,G2,Metric normalization,0,,,,0.6
O_ISAC_218,G3,Cross-modality benchmarking,0,,,,0.6
O_ISAC_218,G4,Cross-domain transfer,0,,,,0.6
O_ISAC_218,G5,Unified PHY framework/taxonomy,0,,,,0.6
O_ISAC_218,G6,System-level co-design,0,,,,0.6
O_ISAC_218,G7,Systematic methodology,0,,,,0.6
O_ISAC_303,G1,Terminology harmonization,0,,,,0.6
O_ISAC_303,G2,Metric normalization,0,,,,0.6
O_ISAC_303,G3,Cross-modality benchmarking,0,,,,0.6
O_ISAC_303,G4,Cross-domain transfer,0,,,,0.6
O_ISAC_303,G5,Unified PHY framework/taxonomy,0,,,,0.6
O_ISAC_303,G6,System-level co-design,3,"Image sensors can be integrated with devices like smartphones, vehicles, or cameras; therefore, they can be used in more scenarios",Keywords: Visible light communication Visible light sensing Integrated sensing a > Introduction > Receiver design,Keywords: Visible light communication Visible light sensing Integrated sensing a > Introduction > Receiver design (L190),0.8
O_ISAC_303,G7,Systematic methodology,0,,,,0.6
O_ISAC_327,G1,Terminology harmonization,0,,,,0.6
O_ISAC_327,G2,Metric normalization,0,,,,0.6
O_ISAC_327,G3,Cross-modality benchmarking,0,,,,0.6
O_ISAC_327,G4,Cross-domain transfer,0,,,,0.6
O_ISAC_327,G5,Unified PHY framework/taxonomy,0,,,,0.6
O_ISAC_327,G6,System-level co-design,3,"Especially, VLC scenarios with mobility were considered.","<span id=""page-0-2""></span>I. INTRODUCTION > <span id=""page-0-18""></span><span id=""page-0-17""></span>B. Advantages of VLCs Ov > <span id=""page-2-5""></span>D. Related Surveys","<span id=""page-0-2""></span>I. INTRODUCTION > <span id=""page-0-18""></span><span id=""page-0-17""></span>B. Advantages of VLCs Ov > <span id=""page-2-5""></span>D. Related Surveys (L59)",0.8
O_ISAC_327,G7,Systematic methodology,0,,,,0.6
O_ISAC_368,G1,Terminology harmonization,0,,,,0.6
O_ISAC_368,G2,Metric normalization,0,,,,0.6
O_ISAC_368,G3,Cross-modality benchmarking,0,,,,0.6
O_ISAC_368,G4,Cross-domain transfer,0,,,,0.6
O_ISAC_368,G5,Unified PHY framework/taxonomy,0,,,,0.6
O_ISAC_368,G6,System-level co-design,0,,,,0.6
O_ISAC_368,G7,Systematic methodology,0,,,,0.6
O_ISAC_377,G1,Terminology harmonization,0,,,,0.6
O_ISAC_377,G2,Metric normalization,0,,,,0.6
O_ISAC_377,G3,Cross-modality benchmarking,0,,,,0.6
O_ISAC_377,G4,Cross-domain transfer,0,,,,0.6
O_ISAC_377,G5,Unified PHY framework/taxonomy,0,,,,0.6
O_ISAC_377,G6,System-level co-design,0,,,,0.6
O_ISAC_377,G7,Systematic methodology,0,,,,0.6
