paper_id,resolution_defensibility_label,snr_plane_label,rule_applied,markdown_path,extraction_json_path
O_ISAC_324,AMBIGUOUS,AMBIGUOUS,,data/proc_markdowns/O_ISAC_324/O_ISAC_324.md,data/ext_res_v4/extraction_v4_unified.json[203]
O_ISAC_327,AMBIGUOUS,AMBIGUOUS,,data/proc_markdowns/O_ISAC_327/O_ISAC_327.md,data/ext_res_v4/extraction_v4_unified.json[204]
O_ISAC_340,AMBIGUOUS,AMBIGUOUS,,data/proc_markdowns/O_ISAC_340/O_ISAC_340.md,data/ext_res_v4/extraction_v4_unified.json[205]
O_ISAC_347,AMBIGUOUS,ESNR_PLANE,,data/proc_markdowns/O_ISAC_347/O_ISAC_347.md,data/ext_res_v4/extraction_v4_unified.json[206]
O_ISAC_348,AMBIGUOUS,OSNR_PLANE,OSNR_TEXT,data/proc_markdowns/O_ISAC_348/O_ISAC_348.md,data/ext_res_v4/extraction_v4_unified.json[207]
O_ISAC_349,AMBIGUOUS,AMBIGUOUS,,data/proc_markdowns/O_ISAC_349/O_ISAC_349.md,data/ext_res_v4/extraction_v4_unified.json[208]
O_ISAC_350,AMBIGUOUS,AMBIGUOUS,,data/proc_markdowns/O_ISAC_350/O_ISAC_350.md,data/ext_res_v4/extraction_v4_unified.json[209]
O_ISAC_351,AMBIGUOUS,AMBIGUOUS,,data/proc_markdowns/O_ISAC_351/O_ISAC_351.md,data/ext_res_v4/extraction_v4_unified.json[210]
O_ISAC_354,AMBIGUOUS,AMBIGUOUS,,data/proc_markdowns/O_ISAC_354/O_ISAC_354.md,data/ext_res_v4/extraction_v4_unified.json[211]
O_ISAC_356,DRMIN_DEFENSIBLE,AMBIGUOUS,DRMIN_TEXT,data/proc_markdowns/O_ISAC_356/O_ISAC_356.md,data/ext_res_v4/extraction_v4_unified.json[212]
O_ISAC_360,AMBIGUOUS,AMBIGUOUS,,data/proc_markdowns/O_ISAC_360/O_ISAC_360.md,data/ext_res_v4/extraction_v4_unified.json[213]
O_ISAC_368,AMBIGUOUS,AMBIGUOUS,,data/proc_markdowns/O_ISAC_368/O_ISAC_368.md,data/ext_res_v4/extraction_v4_unified.json[214]
