paper_id,resolution_defensibility_label,snr_plane_label,rule_applied,markdown_path,extraction_json_path
O_ISAC_242,AMBIGUOUS,AMBIGUOUS,,data/proc_markdowns/O_ISAC_242/O_ISAC_242.md,data/ext_res_v4/extraction_v4_unified.json[186]
O_ISAC_243,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_244,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_245,AMBIGUOUS,AMBIGUOUS,,data/proc_markdowns/O_ISAC_245/O_ISAC_245.md,data/ext_res_v4/extraction_v4_unified.json[187]
O_ISAC_246,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_247,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_248,AMBIGUOUS,ESNR_PLANE,,data/proc_markdowns/O_ISAC_248/O_ISAC_248.md,data/ext_res_v4/extraction_v4_unified.json[188]
O_ISAC_249,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_250,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_251,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_252,AMBIGUOUS,AMBIGUOUS,,data/proc_markdowns/O_ISAC_252/O_ISAC_252.md,data/ext_res_v4/extraction_v4_unified.json[189]
O_ISAC_253,AMBIGUOUS,AMBIGUOUS,,,
