paper_id,resolution_defensibility_label,snr_plane_label,rule_applied,markdown_path,extraction_json_path
O_ISAC_253,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_254,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_255,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_256,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_257,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_258,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_259,DRMIN_DEFENSIBLE,AMBIGUOUS,DRMIN_TEXT,data/proc_markdowns/O_ISAC_259/O_ISAC_259.md,data/ext_res_v4/extraction_v4_unified.json[190]
O_ISAC_260,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_261,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_262,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_263,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_264,AMBIGUOUS,AMBIGUOUS,,,
