paper_id,resolution_defensibility_label,snr_plane_label,rule_applied,markdown_path,extraction_json_path
O_ISAC_265,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_266,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_267,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_268,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_269,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_270,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_271,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_272,AMBIGUOUS,AMBIGUOUS,,data/proc_markdowns/O_ISAC_272/O_ISAC_272.md,data/ext_res_v4/extraction_v4_unified.json[191]
O_ISAC_273,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_274,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_275,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_276,AMBIGUOUS,ESNR_PLANE,,data/proc_markdowns/O_ISAC_276/O_ISAC_276.md,data/ext_res_v4/extraction_v4_unified.json[192]
