paper_id,resolution_defensibility_label,snr_plane_label,rule_applied,markdown_path,extraction_json_path
O_ISAC_288,AMBIGUOUS,AMBIGUOUS,,data/proc_markdowns/O_ISAC_288/O_ISAC_288.md,data/ext_res_v4/extraction_v4_unified.json[196]
O_ISAC_289,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_290,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_291,AMBIGUOUS,AMBIGUOUS,,data/proc_markdowns/O_ISAC_291/O_ISAC_291.md,data/ext_res_v4/extraction_v4_unified.json[197]
O_ISAC_292,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_293,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_294,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_295,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_296,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_297,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_298,AMBIGUOUS,AMBIGUOUS,,,
O_ISAC_299,AMBIGUOUS,AMBIGUOUS,,,
