paper_id,section2_anchor,resolution_defensibility_label,snr_plane_label,rule_applied,markdown_path,extraction_json_path
O_ISAC_134,II-D,DRMIN_DEFENSIBLE,AMBIGUOUS,DRMIN_TEXT,C:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_134\O_ISAC_134\O_ISAC_134.md,data/extraction_results_v4/extraction_v4_unified.json[132]
O_ISAC_135,II-UNK,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,C:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_135\O_ISAC_135\O_ISAC_135.md,data/extraction_results_v4/extraction_v4_unified.json[133]
O_ISAC_136,II-UNK,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,C:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_136\O_ISAC_136\O_ISAC_136.md,data/extraction_results_v4/extraction_v4_unified.json[134]
O_ISAC_137,II-UNK,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,C:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_137\O_ISAC_137\O_ISAC_137.md,data/extraction_results_v4/extraction_v4_unified.json[135]
O_ISAC_138,II-UNK,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,C:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_138\O_ISAC_138\O_ISAC_138.md,data/extraction_results_v4/extraction_v4_unified.json[136]
O_ISAC_139,II-UNK,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,C:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_139\O_ISAC_139\O_ISAC_139.md,data/extraction_results_v4/extraction_v4_unified.json[137]
O_ISAC_140,II-A,AMBIGUOUS,AMBIGUOUS,,C:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_140\O_ISAC_140\O_ISAC_140.md,data/extraction_results_v4/extraction_v4_unified.json[138]
O_ISAC_141,II-UNK,AMBIGUOUS,AMBIGUOUS,,C:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_141\O_ISAC_141\O_ISAC_141.md,data/extraction_results_v4/extraction_v4_unified.json[139]
O_ISAC_142,II-UNK,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,C:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_142\O_ISAC_142\O_ISAC_142.md,data/extraction_results_v4/extraction_v4_unified.json[140]
O_ISAC_143,II-UNK,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,C:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_143\O_ISAC_143\O_ISAC_143.md,data/extraction_results_v4/extraction_v4_unified.json[141]
O_ISAC_144,II-UNK,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,C:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_144\O_ISAC_144\O_ISAC_144.md,data/extraction_results_v4/extraction_v4_unified.json[142]
O_ISAC_145,II-UNK,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,C:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_145\O_ISAC_145\O_ISAC_145.md,data/extraction_results_v4/extraction_v4_unified.json[143]
