paper_id,section,concept,variant,match_type,strength,rationale,quote,line_start,line_end,heading_path,json_path,json_value,llm_model_pass1,llm_label_pass1,llm_model_pass2,llm_label_pass2,llm_escalated
O_ISAC_001,4B,fso,optical wireless,lexical,NONE,The text does not mention the concept of fso.,# Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G,5,5,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G,,,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_001,4B,fso,optical wireless,lexical,INDIRECT,"The text mentions 'infrared free space optics' which is related to fso, but does not directly discuss it.","*Abstract***—Optical Wireless Communications (OWC) is expected to play a significant role in the 6G ecosystem as a complementary technology to RF for indoor, outdoor and space applications. This paper reviews key modulation strategies for OWC that support both robust communication and sensing functionalities. We explore constant envelope OFDM (CE-OFDM), a waveform that mitigates nonlinearities and enhances performance under noise, as well as standard OFDM's potential for supporting joint communication and sensing tasks such as localization and material classification. The synergy between communication and sensing in OWC systems represents a key advancement toward the intelligent, efficient, and multifunctional wireless networks required in 6G.**",13,13,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G,,,meta-llama/llama-4-scout-17b-16e-instruct,INDIRECT,llama-3.3-70b-versatile,INDIRECT,True
O_ISAC_001,4B,fso,free space optical,fuzzy:88.88888888888889,DIRECT,The text directly mentions 'infrared free space optics (FSO)' as part of Optical Wireless Communication (OWC).,"The next generation of wireless networks, commonly referred to as 6G, is expected to revolutionize the landscape of telecommunication by enabling ubiquitous connectivity, extreme reliability, ultra-low latency, and integration with sensing and intelligence. Optical Wireless Communication (OWC), which includes free-space communications mainly in visible light (VLC) or infrared free space optics (FSO), is gaining recognition as a complementary technology to traditional radio frequency (RF) communication [1]. OWC offers several advantages, including ultra-large unlicensed bandwidth, immunity to electromagnetic interference, and enhanced physical layer security due to its spatial confinement [2].",19,19,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION,,,meta-llama/llama-4-scout-17b-16e-instruct,INDIRECT,llama-3.3-70b-versatile,DIRECT,True
O_ISAC_001,4B,fso,free-space optical,lexical,DIRECT,The snippet mentions 'free-space optical link' which directly implies FSO.,"Fig. 1 presents the experimental performance evaluation results of the VLC CE-OFDM system, conducted using the same laboratory setup described in [8]. In the experiment, the CE-OFDM signal was generated using 64 QAM-modulated subcarriers occupying 250 MHz bandwidth, the OFDM modulator is followed by Hermitian symmetry enforcement, inverse FFT, cyclic prefix insertion, and SRRC filtering with a roll-off factor  $\beta$ =0.1 and an up-sampling factor of  $N_{up}$  = 10. The resulting constant-envelope signal was generated by phase modulating a 300 MHz carrier and subsequently transmitted through a 2-meter free-space optical link using a directly modulated laser diode (Thorlabs L638P040). The light was collimated and focused at the receiver side, where it was detected using an avalanche photodiode with integrated amplification. The received signal was digitized at 25 GSa/s and processed by a custom DSP chain implementing decimation, synchronization, digital filtering, phase demodulation and correction. The peak-to-peak amplitude of both the OFDM and CE-OFDM signals was kept at 1.8 V at the AWG. Performance was quantified in terms of the error vector magnitude (EVM) averaged over multiple transmission bursts.",96,96,III. VLC CE-OFDM PERFORMANCE ASSESSMENT,,,meta-llama/llama-4-scout-17b-16e-instruct,DIRECT,,,False
O_ISAC_001,4B,fso,optical wireless,lexical,NONE,"The snippet does not mention 'fso' explicitly, and the context provided is about CE-OFDM in VLC systems, which does not directly relate to 'fso'.","In summary, CE-OFDM emerges as a compelling waveform for VLC systems in 6G, offering advantages in both communication robustness and potential for localization. Its constant-envelope nature ensures compatibility with nonlinear optical front-ends, while its favorable ambiguity function properties support high-resolution sensing. These attributes make CE-OFDM a strong candidate for integrated communication and sensing tasks in future optical wireless networks.",128,128,III. VLC CE-OFDM PERFORMANCE ASSESSMENT > V. CONCLUSION,,,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_001,4B,vlc,visible light,lexical,INDIRECT,"The concept of VLC is mentioned in the keywords section, but it is not the main focus of the text in this snippet.","*Keywords—Visible Light Communication (VLC), Constant envelope orthogonal frequency division multiplexing (CE-OFDM), Integrated Sensing and Communication (ISAC)*",15,15,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G,,,meta-llama/llama-4-scout-17b-16e-instruct,INDIRECT,llama-3.3-70b-versatile,INDIRECT,True
O_ISAC_001,4B,vlc,visible light,lexical,INDIRECT,"The concept of VLC is mentioned as part of Optical Wireless Communication (OWC), but the text does not delve into the specifics of VLC itself.","The next generation of wireless networks, commonly referred to as 6G, is expected to revolutionize the landscape of telecommunication by enabling ubiquitous connectivity, extreme reliability, ultra-low latency, and integration with sensing and intelligence. Optical Wireless Communication (OWC), which includes free-space communications mainly in visible light (VLC) or infrared free space optics (FSO), is gaining recognition as a complementary technology to traditional radio frequency (RF) communication [1]. OWC offers several advantages, including ultra-large unlicensed bandwidth, immunity to electromagnetic interference, and enhanced physical layer security due to its spatial confinement [2].",19,19,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION,,,meta-llama/llama-4-scout-17b-16e-instruct,INDIRECT,llama-3.3-70b-versatile,INDIRECT,True
O_ISAC_001,4B,vlc,light,lexical,INDIRECT,"Similar to the previous snippet, VLC is mentioned as part of OWC, but the text does not provide a detailed discussion on VLC.","However, OWC systems face unique challenges, including sensitivity to ambient light interference, alignment issues, and nonlinearities in light-emitting components such as light-emitting diodes (LEDs) and laser diodes (LDs). To address these issues, advanced modulation techniques are being investigated. Moreover, the push for integration of",21,21,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION,,,meta-llama/llama-4-scout-17b-16e-instruct,INDIRECT,llama-3.3-70b-versatile,INDIRECT,True
O_ISAC_001,4B,vlc,visible light,lexical,DIRECT,"The snippet directly discusses VLC systems, mentioning OFDM-based modulation schemes and CE-OFDM's application to VLC systems.","In VLC systems, OFDM-based modulation schemes such as DC-biased optical OFDM (DCO-OFDM) and asymmetrically clipped optical OFDM (ACO-OFDM) are widely adopted due to their compatibility with intensity modulation and direct detection (IM/DD). However, both suffer from a high peak-to-average power ratio (PAPR). Over the past decade, numerous techniques have been proposed to address this issue. The most common is signal clipping, although more sophisticated approaches, such as active constellation extension [4], which reduces PAPR by adjusting constellation points and DFT spreading [5] have also been explored. Among these solutions, CE-OFDM) has recently attracted attention for its potential to improve power efficiency in wireless communications [6]. This is due not only to its inherent ability to mitigate the high PAPR associated with conventional OFDM systems, but also to its enhanced robustness against system nonlinearities. CE-OFDM has been successfully applied to visible light communication (VLC) systems [7], where it has demonstrated particular effectiveness under low signal-to-noise ratio (SNR) conditions [8].",33,33,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION,,,meta-llama/llama-4-scout-17b-16e-instruct,DIRECT,,,False
O_ISAC_001,4B,vlc,light,lexical,INDIRECT,"The concept 'vlc' is mentioned in the context of a broader discussion on optical signals, material classification, and CE-OFDM, but it is not the primary focus of the snippet. The text assumes prior knowledge of VLC and uses it as a foundation to explore other topics, indicating an indirect relationship.","The remainder of this paper is organized as follows. Section II introduces the fundamental concepts of CE-OFDM and its implementation in VLC systems. Section III presents an experimental performance evaluation, comparing CE-OFDM with conventional OFDM under various modulation indices. Section IV explores the suitability of CE-OFDM for localization, highlighting its potential for ISAC. Finally, Section V concludes the paper and outlines potential directions for future research.",43,43,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION,,,meta-llama/llama-4-scout-17b-16e-instruct,INDIRECT,llama-3.3-70b-versatile,INDIRECT,True
O_ISAC_001,4B,photonic_thz,THz optical,fuzzy:90.9090909090909,NONE,"The snippet discusses the detection of an optical signal by a photodiode and its conversion into an electrical signal, but does not mention photonic THz.","At the receiver, the optical signal is first detected by a photodiode and converted into an electrical signal. This analog waveform, which corresponds to the bandpass signal, given by:",82,82,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION > B. VLC CE-OFDM Receiver,,,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_001,4B,photonic_thz,THz photonic technology,fuzzy:86.95652173913044,NONE,"The snippet provides a list of references related to visible light communication and OFDM, but does not mention photonic THz.","- [8] B. M. S. R. Rosmaninho, V. N. H. Silva, P. P. Monteiro and M. C. R. Medeiros, ""Enhancing Noise Resilience of CE-OFDM in Visible Light Communication Systems,"" in IEEE Photonics Technology Letters, doi: 10.1109/LPT.2025.3577779",141,141,III. VLC CE-OFDM PERFORMANCE ASSESSMENT > REFERENCES,,,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_001,4B,photonic_thz,THz photonic technology,fuzzy:86.95652173913044,NONE,"The snippet provides another list of references related to visible light communication and OFDM, but does not mention photonic THz.","- [9] E. B. Muller, V. N. H. Silva, P. P. Monteiro and M. C. R. Medeiros, ""Joint Optical Wireless Communication and Localization Using OFDM,"" in IEEE Photonics Technology Letters, vol. 34, no. 14, pp. 757-760, 15 July15, 2022, doi: 10.1109/LPT.2022.3186734.",142,142,III. VLC CE-OFDM PERFORMANCE ASSESSMENT > REFERENCES,,,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_001,4B,photonic_thz,THz photonic technology,fuzzy:86.95652173913044,NONE,"The snippet provides yet another list of references related to visible light communication, OFDM, and material classification, but does not mention photonic THz.","- [10] S. Chen, C. Chen, Z. Zeng, Y. Yang and H. Haas, ""Full-Duplex RO-ISAC System: Wavelength Division Duplexing and Hybrid Waveform Design,"" in IEEE Photonics Technology Letters, vol. 37, no. 15, pp. 869-872, 1 Aug.1, 2025, doi: 10.1109/LPT.2025.3570997.",143,143,III. VLC CE-OFDM PERFORMANCE ASSESSMENT > REFERENCES,,,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_001,4B,json:oisac_medium_class,,json,DIRECT,Structured classification field,,,,,study_level.classification.oisac_medium_class,wireless_vlc,json,DIRECT,,,False
