paper_id,section,concept,variant,match_type,strength,rationale,quote,line_start,line_end,heading_path,json_path,json_value,llm_model_pass1,llm_label_pass1,llm_model_pass2,llm_label_pass2,llm_escalated
O_ISAC_001,4C,shared_waveform,joint waveform,fuzzy:85.71428571428572,DIRECT,"The snippet mentions 'waveform for joint communication and localization in VLC', which directly relates to the concept of shared_waveform.","potentially efficient waveform for joint communication and localization in VLC. This aligns well with 6G objectives, where energy efficiency, spectrum coexistence, and ISAC are key priorities.",124,124,III. VLC CE-OFDM PERFORMANCE ASSESSMENT > IV. ON THE SUITABILITY OF CE-OFDM FOR LOCALIZATION IN VLC SYSTEMS,,,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,DIRECT,True
O_ISAC_001,4C,json:hardware_sharing_mode,,json,DIRECT,Structured integration field,,,,,scenario_level.integration.hardware_sharing_mode,shared_frontend,json,DIRECT,,,False
O_ISAC_001,4C,json:duplexing_mode,,json,DIRECT,Structured integration field,,,,,scenario_level.integration.duplexing_mode,full_duplex,json,DIRECT,,,False
O_ISAC_002,4C,shared_processing,joint processing,fuzzy:87.5,NONE,"The snippet discusses frequency-domain processing and its effects on a wireless channel, but does not mention shared processing explicitly or implicitly.","equalizer with sparse coefficients. Experimental results, shown in Fig. 3c, demonstrate that after frequency-domain processing, the system can effectively compensate for the frequency-selective effects of a 20-meter wireless channel, achieving ~ 8 dB compensation gain.",45,45,**Photonic Terahertz Integrated Sensing and Communication (ISAC) Systems** > **1. Introduction** > **2. Photonic THz ISAC Waveform Design** > 4. Photonic THz Sensing enhanced Communications,,,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_002,4C,json:hardware_sharing_mode,,json,DIRECT,Structured integration field,,,,,scenario_level.integration.hardware_sharing_mode,shared_frontend,json,DIRECT,,,False
O_ISAC_002,4C,json:duplexing_mode,,json,DIRECT,Structured integration field,,,,,scenario_level.integration.duplexing_mode,full_duplex,json,DIRECT,,,False
O_ISAC_003,4C,json:hardware_sharing_mode,,json,DIRECT,Structured integration field,,,,,scenario_level.integration.hardware_sharing_mode,separate_frontends,json,DIRECT,,,False
O_ISAC_003,4C,json:duplexing_mode,,json,DIRECT,Structured integration field,,,,,scenario_level.integration.duplexing_mode,half_duplex,json,DIRECT,,,False
O_ISAC_004,4C,json:hardware_sharing_mode,,json,DIRECT,Structured integration field,,,,,scenario_level.integration.hardware_sharing_mode,shared_frontend,json,DIRECT,,,False
O_ISAC_004,4C,json:duplexing_mode,,json,DIRECT,Structured integration field,,,,,scenario_level.integration.duplexing_mode,full_duplex,json,DIRECT,,,False
O_ISAC_005,4C,shared_resources,resource allocation,lexical,INDIRECT,"The concept of shared_resources is indirectly related to the context, which discusses the allocation of resources such as transmit power and user association between the GBS and UAV.",## III. PROBLEM FORMULATION AND RESOURCE ALLOCATION,122,122,Integrated Sensing and Communication for UAV Trajectory Optimization in Mixed FSO-RF Networks in Dynamic Weather Conditions > III. PROBLEM FORMULATION AND RESOURCE ALLOCATION,,,meta-llama/llama-4-scout-17b-16e-instruct,INDIRECT,llama-3.3-70b-versatile,INDIRECT,True
O_ISAC_005,4C,shared_resources,resource allocation,lexical,NONE,The context is a list of references and does not explicitly mention the concept of shared_resources.,"- [13] S. Zhang and N. Ansari, ""3D drone base station placement and resource allocation with FSO-based backhaul in hotspots,"" *IEEE Trans. Veh. Technol.*, vol. 69, no. 3, pp. 3322–3329, 2020.",253,253,Integrated Sensing and Communication for UAV Trajectory Optimization in Mixed FSO-RF Networks in Dynamic Weather Conditions > IV. RESULTS AND SYSTEM PERFORMANCE > V. CONCLUSION > REFERENCES,,,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_005,4C,json:hardware_sharing_mode,,json,DIRECT,Structured integration field,,,,,scenario_level.integration.hardware_sharing_mode,shared_frontend,json,DIRECT,,,False
O_ISAC_005,4C,json:duplexing_mode,,json,DIRECT,Structured integration field,,,,,scenario_level.integration.duplexing_mode,full_duplex,json,DIRECT,,,False
O_ISAC_006,4C,json:hardware_sharing_mode,,json,DIRECT,Structured integration field,,,,,scenario_level.integration.hardware_sharing_mode,shared_frontend,json,DIRECT,,,False
O_ISAC_006,4C,json:duplexing_mode,,json,DIRECT,Structured integration field,,,,,scenario_level.integration.duplexing_mode,full_duplex,json,DIRECT,,,False
O_ISAC_007,4C,json:hardware_sharing_mode,,json,DIRECT,Structured integration field,,,,,scenario_level.integration.hardware_sharing_mode,shared_frontend,json,DIRECT,,,False
O_ISAC_008,4C,shared_waveform,joint waveform,lexical,NONE,The snippet does not mention the concept of shared waveform.,# **Wide-steering Integrated Sensing and Communication OPA-based Lidar Design with Joint Waveform and Thinned Antenna**,7,7,**Wide-steering Integrated Sensing and Communication OPA-based Lidar Design with Joint Waveform and Thinned Antenna**,,,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_008,4C,shared_waveform,joint waveform,lexical,INDIRECT,"The snippet mentions 'joint waveform' which is related to the concept of shared waveform, but does not directly discuss shared waveform.",*Abstract: We propose an integrated sensing and communication Lidar design with joint waveform and thinned ring antenna. Evaluation results show a higher data rate of 4Gbps and a wider steering range of 60°×32° can be achieved.*,13,13,**Wide-steering Integrated Sensing and Communication OPA-based Lidar Design with Joint Waveform and Thinned Antenna**,,,meta-llama/llama-4-scout-17b-16e-instruct,INDIRECT,llama-3.3-70b-versatile,INDIRECT,True
O_ISAC_008,4C,shared_waveform,joint waveform,lexical,INDIRECT,"The snippet mentions 'joint waveform' which is related to the concept of shared waveform, but does not directly discuss shared waveform.","*Keywords: Silicon photonics, optical phased array, integrated sensing and communication, joint waveform.*",15,15,**Wide-steering Integrated Sensing and Communication OPA-based Lidar Design with Joint Waveform and Thinned Antenna**,,,meta-llama/llama-4-scout-17b-16e-instruct,INDIRECT,llama-3.3-70b-versatile,INDIRECT,True
