Date,Title,Year,DOI,Decision, Reason
2025-12-28,"Towards last-mile connectivity in 6G-IoT: An integrated MIMO-FSO communication system and FBG sensors under atmospheric attenuations, strain and temperature effects",2025,10.1016/j.jestch.2025.101958,Unscreened,Scopus New (ID: O_ISAC_199)
2025-12-28,Machine learning opportunities for integrated polarization sensing and communication in optical fibers,2025,10.1016/j.yofte.2024.104047,Unscreened,Scopus New (ID: O_ISAC_200)
2025-12-28,Recent Advances in Integrated Vibration Sensing and Communication in Digital Subcarrier Multiplexing Systems,2025,10.3390/photonics12030290,Unscreened,Scopus New (ID: O_ISAC_201)
2025-12-28,Integrated optical covert sensing and communication,2025,10.3788/COL202523.020602,Unscreened,Scopus New (ID: O_ISAC_202)
2025-12-28,High-Speed Flexible Near-Infrared Organic Photodetectors for Self-Powered Optical Integrated Sensing and Communications,2025,10.1002/adfm.202412813,Unscreened,Scopus New (ID: O_ISAC_203)
2025-12-28,Microwave Photonics Computational Signal Algebra Framework for Radar Integrated Sensing and Communication Applications,2025,10.1109/LAMC63321.2025.10880541,Unscreened,Scopus New (ID: O_ISAC_204)
2025-12-28,"2025 IEEE MTT-S Latin America Microwave Conference, LAMC 2025 - Proceedings",2025,nan,Unscreened,Scopus New (ID: O_ISAC_205)
2025-12-28,Beam Pattern Modulation Embedded Hybrid Transceiver Optimization for Integrated Sensing and Communication,2025,10.1109/TWC.2025.3545372,Unscreened,Scopus New (ID: O_ISAC_206)
2025-12-28,DoA Estimation of Nonuniform Noise Sources via Off-Grid SBL in a Noncooperative Mode Using a Single RF Link,2025,10.1109/TMTT.2024.3464694,Unscreened,Scopus New (ID: O_ISAC_207)
2025-12-28,Movable Access Point-Aided Integrated Visible Light Communication and Sensing Networks,2025,10.1109/LWC.2024.3521192,Duplicate,Already in database
2025-12-28,Integrated Communication and Sensing mmWave 5G-NR Research Platform utilizing the Open-Source OAI Stack with Camera-Assisted Beam Management,2025,10.1109/JCS64661.2025.10880630,Unscreened,Scopus New (ID: O_ISAC_208)
2025-12-28,Microwave Photonics Empowered Integrated Sensing and Communication for 6G,2025,10.1109/TMTT.2025.3532810,Unscreened,Scopus New (ID: O_ISAC_209)
2025-12-28,Microwave Photonic Integrated Sensing and Communication Based on Polarization Multiplexing and Frequency-to-Time Mapping,2025,10.1109/JIOT.2025.3542099,Duplicate,Already in database
2025-12-28,ReflexGest: Recognizing Hand Gestures Under VLC-Capable Lamps,2025,10.1109/TMC.2025.3545340,Duplicate,Already in database
2025-12-28,Photonics-assisted mmW integrated sensing and communication system with polarization-insensitive capability,2025,10.1117/12.3058779,Unscreened,Scopus New (ID: O_ISAC_210)
2025-12-28,Integrated Positioning and Communication Relying on Wireless Optical OFDM,2025,10.1109/JSAC.2025.3543532,Duplicate,Already in database
2025-12-28,Bidirectional Retroreflective Optical ISAC Using Time Division Duplexing and Clipped OFDM,2025,10.1109/LPT.2025.3541038,Duplicate,Already in database
2025-12-28,"Real-Time 141 GHz JCAS Channel Sounder: Near-Field Switched Beamforming, Carrier Multiplexing, and Context Awareness",2025,10.1109/TMTT.2025.3529345,Unscreened,Scopus New (ID: O_ISAC_211)
2025-12-28,Two-Stage Framework for Sensing Assisted Covert Communications,2025,10.1109/TVT.2025.3531877,Unscreened,Scopus New (ID: O_ISAC_212)
2025-12-28,High dynamic-range dimming control for CFMO-OFDM-based VLC systems utilizing a grouped direct current scheme,2025,10.1364/OL.543529,Unscreened,Scopus New (ID: O_ISAC_213)
2025-12-28,Optical Integrated Sensing and Communication With Light-Emitting Diode,2025,10.1109/JIOT.2024.3523045,Duplicate,Already in database
2025-12-28,A D-Band Concurrent 20-Beam MIMO Transmitter Array With a Four-Element Joint Static/Dynamic Beam-Multiplication Beamformer,2025,10.1109/JSSC.2024.3487619,Unscreened,Scopus New (ID: O_ISAC_214)
2025-12-28,Free-Space Optical Integrated Sensing and Communication Based on DCO-OFDM: Performance Metrics and Resource Allocation,2025,10.1109/JIOT.2024.3469279,Duplicate,Already in database
2025-12-28,Channel-Training-Aided Target Sensing for Terahertz Integrated Sensing and Massive MIMO Communications,2025,10.1109/JIOT.2024.3447584,Unscreened,Scopus New (ID: O_ISAC_215)
2025-12-28,RIS-Assisted Physical Layer Security in Emerging RF and Optical Wireless Communications Systems: A Comprehensive Survey,2025,10.1109/COMST.2024.3487112,Unscreened,Scopus New (ID: O_ISAC_216)
2025-12-28,W-band photonics-aided OFDM system integrating sensing and communication with phase noise suppression scheme,2025,10.1016/j.optlastec.2024.111432,Unscreened,Scopus New (ID: O_ISAC_217)
2025-12-28,On the Feasibility of Cyclist Detection Using MIMO-Radar for Long-Range ISAC Scenarios,2025,10.23919/ICMU65253.2025.11219159,Duplicate,Already in database
2025-12-28,Hybrid MRR-Assisted Long-Range SDMA for RO-ISAC Systems in Industry IoT Applications,2025,10.1109/JLT.2025.3642277,Unscreened,Scopus New (ID: O_ISAC_218)
2025-12-28,"Multiuser Retroreflective Optical ISAC: Waveform Design, Joint Sensing and Multiple Access",2025,10.1109/JLT.2025.3642513,Unscreened,Scopus New (ID: O_ISAC_219)
2025-12-28,Signal-Signal Beating Interference: From Destructive to Constructive for Photonic THz Integrated Sensing and Communication System Using Self-Coherent OFDM,2025,10.1109/TMTT.2025.3638469,Duplicate,Already in database
2025-12-28,Advanced SMART network: empowering subsea monitoring with dense photonic integrated sensing and communication,2025,10.1364/PRJ.563034,Unscreened,Scopus New (ID: O_ISAC_220)
2025-12-28,Passive Sensing Technique Using Cyclic Prefix in Power-Constrained Optical Wireless Communication Systems,2025,10.1109/TVT.2025.3640107,Duplicate,Already in database
2025-12-28,Low Complexity Waveform PAPR Reduction in Uplink ISAC System,2025,10.1109/LWC.2025.3635921,Unscreened,Scopus New (ID: O_ISAC_221)
2025-12-28,Sensing-Oriented Reference Signal Design for Multi-Target Detection in 6G ISAC Systems,2025,10.1109/LCOMM.2025.3636389,Unscreened,Scopus New (ID: O_ISAC_222)
2025-12-28,System-level Analysis of Dual-Mode Networked Sensing: ISAC Integration & Coordination Gains,2025,10.1109/TWC.2025.3634682,Unscreened,Scopus New (ID: O_ISAC_223)
2025-12-28,Super-Resolution Direct Position and Velocity Estimation for Distributed MIMO-OFDM Systems,2025,10.1109/RadarConf2559087.2025.11205025,Unscreened,Scopus New (ID: O_ISAC_224)
2025-12-28,Optimal Azimuth Sampling and Interpolation for Bistatic ISAC Setups,2025,10.1109/WSA65299.2025.11202829,Unscreened,Scopus New (ID: O_ISAC_225)
2025-12-28,"Photonics-assisted System for Joint Radar Ranging, Wireless Communications and Spectrum Sensing",2025,10.1109/JLT.2025.3632104,Duplicate,Already in database
2025-12-28,New Paradigm for Integrated Sensing and Communication with Rydberg Atomic Receiver,2025,10.1109/MCOM.001.2500371,Duplicate,Already in database
2025-12-28,"Multichannel Wind-Signal Driven Digital Twin for a 50 m2 Heliostat: Compressed Sampling, Load Estimation and Edge-Cloud Hybrid Computing",2025,10.1109/ICSPCC66825.2025.11194376,Duplicate,Already in database
2025-12-28,All-Optical Computing for Direction-of-Arrival Estimation Beyond Diffraction Limits,2025,nan,Duplicate,Already in database
2025-12-28,Antenna-on-Display Featuring 2-D Frequency and Phase Scanning for Integrated Sensing and Communication,2025,10.1109/ICMMT65948.2025.11188032,Unscreened,Scopus New (ID: O_ISAC_226)
2025-12-28,Super-Resolution-Based Bayesian Learning for the Localization of Extended Targets in mmWave MIMO OFDM Systems,2025,10.1109/OJVT.2025.3627139,Unscreened,Scopus New (ID: O_ISAC_227)
2025-12-28,Photonic Chirp Spread Spectrum THz-ISAC: Constraints and Design Considerations,2025,10.1109/TMTT.2025.3615239,Unscreened,Scopus New (ID: O_ISAC_228)
2025-12-28,Machine Learning-Enhanced Multi-Pump RFA for High-Performance Optical Backbone in Low-Altitude Sensing and Communication,2025,10.1109/JIOT.2025.3626345,Duplicate,Already in database
2025-12-28,Reconstructed DM-RS in 5G NR PDSCH for Optimizing ISAC System Performance,2025,10.1109/LCOMM.2025.3624871,Unscreened,Scopus New (ID: O_ISAC_229)
2025-12-28,Integrated Communication and In-band Spectrum Polarization-Based Sensing via Fraction-Division Non-Orthogonal Multiple Access,2025,10.1109/JLT.2025.3625373,Duplicate,Already in database
2025-12-28,Integrated Simultaneous Transmit and Receive Antenna Systems for ISAC Applications,2025,10.46620/URSIAPRASC25/BUUG9643,Unscreened,Scopus New (ID: O_ISAC_230)
2025-12-28,On Performance of RIS-NOMA Assisted Heterogeneous ISAC Networks,2025,10.1109/TCCN.2025.3622346,Unscreened,Scopus New (ID: O_ISAC_231)
2025-12-28,ISAC in Scalable Cell-Free Massive MIMO Networks With Hardware Impairments,2025,10.1109/OJCOMS.2025.3621773,Unscreened,Scopus New (ID: O_ISAC_232)
2025-12-28,Generalized Signal Phase Inversion-Based NOMA Technique for 6G Integrated Sensing and Communication Systems,2025,10.1109/TVT.2025.3620418,Unscreened,Scopus New (ID: O_ISAC_233)
2025-12-28,The Role of Photonic Sensing Technologies in Healthcare 5.0: A Comprehensive Review of Future Perspectives and Applications,2025,10.1109/JIOT.2025.3622344,Unscreened,Scopus New (ID: O_ISAC_234)
2025-12-28,Information-Theoretic Limits of Bistatic Integrated Sensing and Communication,2025,10.1109/TIT.2025.3621465,Unscreened,Scopus New (ID: O_ISAC_235)
2025-12-28,Passive Sensing for Multiple Vehicles in Bi-Static ISAC Systems,2025,10.1109/VTC2025-Spring65109.2025.11174283,Unscreened,Scopus New (ID: O_ISAC_236)
2025-12-28,Secrecy Energy Efficiency of Hybrid Wireless Body Area Networks,2025,10.1109/TMC.2025.3618098,Duplicate,Already in database
2025-12-28,Coordinated FMCW and OFDM for Integrated Sensing and Communication,2025,10.1109/TVT.2025.3619057,Unscreened,Scopus New (ID: O_ISAC_237)
2025-12-28,Optimal Beamforming for Optical Wireless Integrated Sensing and Communication Based on Optical Phased Array,2025,10.1109/ICC52391.2025.11160979,Duplicate,Already in database
2025-12-28,Exploring Photonic THz-ISAC Systems with Integrated Waveforms,2025,10.1109/JLT.2025.3615209,Duplicate,Already in database
2025-12-28,Multi-Target Acquisition in Multistatic MIMO-OFDM Joint Sensing and Communication,2025,10.1109/ICCWorkshops67674.2025.11162167,Unscreened,Scopus New (ID: O_ISAC_238)
2025-12-28,DAFT-Domain Interference Cancellation Scheme for Full-Duplex AFDM ISAC System,2025,10.1109/ICCWorkshops67674.2025.11162304,Unscreened,Scopus New (ID: O_ISAC_239)
2025-12-28,Perception-Enhanced Multitask Multimodal Semantic Communication for UAV-Assisted Integrated Sensing and Communication System,2025,10.1109/ICCWorkshops67674.2025.11162428,Duplicate,Already in database
2025-12-28,A General 6G Large-scale Fading Channel Model for Multiple Frequency Bands and Scenarios,2025,10.1109/ICCC65529.2025.11148844,Duplicate,Already in database
2025-12-28,Ultra-Sensitive All-Polymer Near-Infrared Photodetectors via Van der Waals Layered Triple Heterojunction,2025,10.34133/research.0939,Unscreened,Scopus New (ID: O_ISAC_240)
2025-12-28,Photonics-Assisted Millimeter-Wave Integrated Sensing and Communication Based on OTFS,2025,10.1109/JLT.2025.3613544,Unscreened,Scopus New (ID: O_ISAC_241)
2025-12-28,Sliding window-based LSTM scheme for PAM-4 photonics-assisted W-band ISAC systems,2025,10.1109/LPT.2025.3614902,Unscreened,Scopus New (ID: O_ISAC_242)
2025-12-28,A General 3D GBSM for 6G ISAC Systems Towards 3GPP Standardization Verified by Channel Measurements,2025,10.1109/JSAC.2025.3612916,Unscreened,Scopus New (ID: O_ISAC_243)
2025-12-28,Subspace-Based Super-Resolution Sensing for Bi-Static ISAC with Clock Asynchronism,2025,10.1109/JSAC.2025.3610494,Unscreened,Scopus New (ID: O_ISAC_244)
2025-12-28,Integrated Vibration Sensing in DSCM Systems Under ECLs Based on ANN and Digital Twin,2025,10.1109/ICOCN67308.2025.11145413,Duplicate,Already in database
2025-12-28,MCMC-Based Sparse Bayesian Learning for Super-Resolution Receiver in ISAC Systems,2025,10.1109/ICMLCN64995.2025.11140099,Unscreened,Scopus New (ID: O_ISAC_245)
2025-12-28,Blind and Topological Interference Managements for Bistatic Integrated Sensing and Communication,2025,10.1109/JSAC.2025.3611944,Unscreened,Scopus New (ID: O_ISAC_246)
2025-12-28,A BRIEF OVERVIEW OF W-BAND APPLICATIONS IN SATELLITE COMMUNICATION SYSTEMS,2025,10.1049/icp.2025.2221,Unscreened,Scopus New (ID: O_ISAC_247)
2025-12-28,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G,2025,10.1109/ICTON67126.2025.11125210,Duplicate,Already in database
2025-12-28,Exploitation of FMF capabilities for joint communications and sensing,2025,10.1109/ICTON67126.2025.11125376,Unscreened,Scopus New (ID: O_ISAC_248)
2025-12-28,Intent and Context-Aware Optical Networks,2025,10.1109/ICTON67126.2025.11125334,Duplicate,Already in database
2025-12-28,Coprime Sensing Reference Signal Design Based on Zadoff-Chu Sequence and Index Modulation for Uplink ISAC System,2025,10.1109/TVT.2025.3604403,Unscreened,Scopus New (ID: O_ISAC_249)
2025-12-28,Radar-to-Radar Communication for Connected Vehicles with Commercial Devices,2025,10.1109/ICTON67126.2025.11125281,Unscreened,Scopus New (ID: O_ISAC_250)
2025-12-28,"2025 IEEE Photonics Society Summer Topicals Meeting Series, SUM 2025 - Proceedings",2025,nan,Duplicate,Already in database
2025-12-28,Sensing Assisted Localization Services for Indoor Environments,2025,10.23919/WiOpt66569.2025.11123308,Duplicate,Already in database
2025-12-28,Joint communication and sensing in access networks for anthropic activities monitoring and real-time safety surveillance,2025,10.1109/SUM65312.2025.11121744,Duplicate,Already in database
2025-12-28,Cramér-Rao Bound Optimization for Bistatic ISAC: Transceiver Design and Attention-Based ISACNet,2025,10.1109/JSAC.2025.3607866,Unscreened,Scopus New (ID: O_ISAC_251)
2025-12-28,Wide-Steering Integrated Sensing and Communication OPA-Based Lidar Design with Joint Waveform and Thinned Antenna,2025,10.23919/OECC/PSC62146.2025.11111436,Duplicate,Already in database
2025-12-28,An Adaptive Control System for Satellite-Ground Laser Communication Based on Integrated Sensing and Communication,2025,10.23919/OECC/PSC62146.2025.11110813,Unscreened,Scopus New (ID: O_ISAC_252)
2025-12-28,UAV-Aided Flying Retroreflective Optical ISAC with Angle Diversity Transmitters,2025,10.23919/OECC/PSC62146.2025.11110803,Duplicate,Already in database
2025-12-28,Pre-Compensation of LFM Sensing Probe via Integrated Sensing and Communication over Fiber System,2025,10.23919/OECC/PSC62146.2025.11111272,Duplicate,Already in database
2025-12-28,WiCaliper: Simultaneous Material and 3D Size Sensing for Everyday Objects Using WiFi,2025,10.1109/JSAC.2025.3609312,Unscreened,Scopus New (ID: O_ISAC_253)
2025-12-28,"2025 IEEE International Mediterranean Conference on Communications and Networking, MeditCom 2025",2025,nan,Duplicate,Already in database
2025-12-28,Integrated sensing and communication with LFM-ASK waveform generation by P1 laser dynamics,2025,10.1117/12.3075849,Unscreened,Scopus New (ID: O_ISAC_254)
2025-12-28,Zero-Padding 2D-DFT Scheme for Photonics-Assisted W-Band Fiber-Wireless ISAC System with Orthogonal Time Frequency Space Modulation,2025,10.1109/JLT.2025.3602312,Duplicate,Already in database
2025-12-28,Multimodal Sensing for Intelligent V2X: A Review of Recent Advances Toward Deployment,2025,10.1109/JIOT.2025.3601236,Unscreened,Scopus New (ID: O_ISAC_255)
2025-12-28,Spectrum-efficient LDPC-coded Joint Radar and Communication Systems Using Flipping-based Integrated Waveforms,2025,10.1109/TVT.2025.3601547,Unscreened,Scopus New (ID: O_ISAC_256)
2025-12-28,Possibilities and Challenges for a Phased Array Antenna System in ISAC: A Hardware Perspective,2025,10.1109/ACCESS.2025.3599680,Unscreened,Scopus New (ID: O_ISAC_257)
2025-12-28,Constant Envelope OTFS Waveform Design and Performance Analysis for Mobile ISAC Systems,2025,10.1109/TVT.2025.3600838,Unscreened,Scopus New (ID: O_ISAC_258)
2025-12-28,Low-PAPR OFDM-ISAC Waveform Design Based on Frequency-Domain Phase Differences,2025,10.1109/JIOT.2025.3599171,Unscreened,Scopus New (ID: O_ISAC_259)
2025-12-28,Microalgae Density Measurement Using Quantum-Dot-Integrated Sensing and Communication System,2025,10.1109/TIM.2025.3595231,Duplicate,Already in database
2025-12-28,Distributed Fiber Optic Sensing (DFOS) in Telecom Networks: Industry Trends and Standards Development,2025,10.1109/JLT.2025.3597192,Unscreened,Scopus New (ID: O_ISAC_260)
2025-12-28,Super-Resolution Parameter Estimation and Predictable Beamforming Optimization for MIMO-OTFS ISAC Systems,2025,10.1109/TVT.2025.3596241,Unscreened,Scopus New (ID: O_ISAC_261)
2025-12-28,Demonstration of High Sensitivity Detection and High Precision Localization of Vibrations in Bidirectional Coherent Transmission Systems Enabled by Carrier Laser Phase Noise Retrieval,2025,10.1109/JLT.2025.3593142,Duplicate,Already in database
2025-12-28,Advanced Integration of Sensing and Communication With High DSP Compatibility for SMART Network,2025,10.1109/LPT.2025.3593343,Duplicate,Already in database
2025-12-28,OCDM-Based FMCW Waveform Design for FSO Integrated Sensing and Communications,2025,10.1109/JLT.2025.3592208,Duplicate,Already in database
2025-12-28,Flexible Waveform Design for RO-ISAC Based on OFDM-Embedded Maximum Length Sequence,2025,10.1109/LWC.2025.3593253,Duplicate,Already in database
2025-12-28,Low Complexity Super-Resolution OTFS-Assisted ISAC Framework for THz Communication,2025,10.1109/TVT.2025.3590418,Unscreened,Scopus New (ID: O_ISAC_262)
2025-12-28,Photonic THz Sensing-assisted Multipath Channel Estimation for ISAC,2025,10.1364/OFC.2025.Th2A.23,Unscreened,Scopus New (ID: O_ISAC_263)
2025-12-28,Integrated Sensing and Communications for Metropolitan Environments,2025,10.1364/OFC.2025.Tu3C.3,Duplicate,Already in database
2025-12-28,Optical Transport Network Optimization Supporting Integrated Sensing and Communication Services,2025,10.1364/OFC.2025.W2A.48,Duplicate,Already in database
2025-12-28,Reconfigurable Networks for Indoor Optical Wireless Communications using Polarization-Controlled Dual-Function Metasurfaces,2025,10.1364/OFC.2025.W1H.2,Unscreened,Scopus New (ID: O_ISAC_264)
2025-12-28,Photonics-Aided THz ISAC System Based on A Spectral Overlapping Multi-Carrier 16QAM-LFM Waveform,2025,10.1364/OFC.2025.Th2A.27,Unscreened,Scopus New (ID: O_ISAC_265)
2025-12-28,Photonic Terahertz Integrated Sensing and Communication (ISAC) Systems,2025,10.1364/OFC.2025.W4F.6,Duplicate,Already in database
2025-12-28,"2025 13th Iran Workshop on Communication and Information Theory, IWCIT 2025",2025,nan,Duplicate,Already in database
2025-12-28,Integrated Sensing and Communications using External Cavity Laser with Laser Frequency Comb,2025,10.1364/OFC.2025.Tu2K.4,Unscreened,Scopus New (ID: O_ISAC_266)
2025-12-28,Optical IRS-Aided Indoor Visible Light Fingerprint Localization,2025,10.1109/TGCN.2025.3589348,Duplicate,Already in database
2025-12-28,Cross-Frequency Sensing in Bistatic ISAC Systems,2025,10.1109/TWC.2025.3585944,Unscreened,Scopus New (ID: O_ISAC_267)
2025-12-28,Novel on-Wafer mm wave MIMO Antenna for JCAS of CT Scanners and Ring Resonator for Assessing Polyimide Properties at 60 Ghz,2025,10.1109/EuCNC/6GSummit63408.2025.11037219,Unscreened,Scopus New (ID: O_ISAC_268)
2025-12-28,Clock and Carrier Synchronization Using Optical Frequency Combs in Radio Access Networks,2025,10.1109/ICT65093.2025.11046275,Duplicate,Already in database
2025-12-28,Indoor ISAC Demonstrator with Aperture Coupled Antennas (ACA) at Wi-Fi Band for 6G Applications,2025,10.1109/EuCNC/6GSummit63408.2025.11036857,Unscreened,Scopus New (ID: O_ISAC_269)
2025-12-28,DFT-Spread-Based OTFS Waveform Design With Good Peak-to-Average Power Ratio for Joint Sensing and Communications,2025,10.1109/ICASSP49660.2025.10890212,Unscreened,Scopus New (ID: O_ISAC_270)
2025-12-28,Digital-Twin-Assisted Clustering of Radio Frequency Multipath Components,2025,10.1109/LAWP.2025.3583481,Unscreened,Scopus New (ID: O_ISAC_271)
2025-12-28,Three-Stage Super-Resolution Estimation of Target Parameter in OCDM ISAC Systems,2025,10.1109/LWC.2025.3583732,Unscreened,Scopus New (ID: O_ISAC_272)
2025-12-28,Integrated sensing and communications using external cavity laser with laser frequency comb,2025,10.1364/OFC.2025.Tu2K.4,Duplicate,Already in database
2025-12-28,Integrated Sensing and Communications for Metropolitan Environments,2025,10.1364/OFC.2025.Tu3C.3,Duplicate,Already in database
2025-12-28,Photonics-Aided THz ISAC System Based on A Spectral Overlapping Multi-Carrier 16QAM-LFM Waveform,2025,10.1364/OFC.2025.Th2A.27,Duplicate,Already in database
2025-12-28,Reconfigurable Networks for Indoor Optical Wireless Communications using Polarization-Controlled Dual-Function Metasurfaces,2025,10.1364/OFC.2025.W1H.2,Duplicate,Already in database
2025-12-28,Photonic THz Sensing-assisted Multipath Channel Estimation for ISAC,2025,10.1364/OFC.2025.Th2A.23,Duplicate,Already in database
2025-12-28,Optical Transport Network Optimization Supporting Integrated Sensing and Communication Services,2025,10.1364/OFC.2025.W2A.48,Duplicate,Already in database
2025-12-28,Photonic Terahertz Integrated Sensing and Communication (ISAC) Systems,2025,10.1364/OFC.2025.W4F.6,Duplicate,Already in database
2025-12-28,"4th International Conference on Autonomous Unmanned Systems, ICAUS 2024",2025,nan,Duplicate,Already in database
2025-12-28,First demonstration of integrated 3-D multi-modal sensing and PS-4096QAM-OFDM communication via mmWave Ka-band fiber-wireless radio access network,2025,10.1117/12.3073161,Unscreened,Scopus New (ID: O_ISAC_273)
