Title,Authors,DOI,DOI link,Venue,Citation count,Year,Filename
Clutter-Aware Target Detection for ISAC in a Millimeter-Wave Cell-Free Massive MIMO System,"Steven Rivetti, Ozlem Tuugfe Demir, Emil Björnson, Mikael Skoglund",10.48550/arXiv.2411.08759,https://doi.org/10.48550/arXiv.2411.08759,arXiv.org,0,2024,-
Joint Beamforming and Mode Selection Design for Hybrid RIS Assisted Integrated Sensing and Communications,"Rui Zhao, Xiaoyan Hu, Chao Liu, Han Xiao, Tong-Xing Zheng, Kai-Kit Wong, Guangyue Lu",10.1109/WCNC57260.2024.10571105,https://doi.org/10.1109/WCNC57260.2024.10571105,IEEE Wireless Communications and Networking Conference,0,2024,-
Beamforming Design for ISCC Systems with Reconfigurable Intelligent Surfaces,"Ruihang Yang, Dezhi Wang, Chen Zhu, B. Ning, Zhengyu Zhu, Chongwen Huang, Zhaohui Yang",10.1109/ICCT62411.2024.10946466,https://doi.org/10.1109/ICCT62411.2024.10946466,International Conference on Speech Technology and Human-Computer Dialogue,1,2024,-
A Framework of RIS-assisted ICSC User-Centric Based Systems: Latency Optimization and Design,"Jiahua Wan, Hong Ren, Zhiyuan Yu, Zhenkun Zhang, Yang Zhang, Cunhua Pan, Jiangzhou Wang",10.1109/tcomm.2025.3577636,https://doi.org/10.1109/tcomm.2025.3577636,IEEE Transactions on Communications,1,2024,-
"All‐In‐One Integrated Multifunctional Broadband Metasurface for Analogue Signal Processing, Polarization Conversion, Beam Manipulation, and Near‐Field Sensing","Baiyang Liu, Jiachen Du, X. Jiang, Yin Li, S. Wong, Q. Cheng, T. Cui, Qingfeng Zhang",10.1002/adom.202201217,https://doi.org/10.1002/adom.202201217,Advanced Optical Materials,21,2022,-
Adaptively programmable metasurface for intelligent wireless communications in complex environments,"Hanqing Yang, J. Dai, H. Li, Lijie Wu, Zi Hang Shen, Q. Zhou, Meng Zhen Zhang, Sissi Wang, Z. Wang, J. Wu, Shi Jin, W. Tang, Qiang Cheng, T. Cui",10.1038/s41467-025-61409-6,https://doi.org/10.1038/s41467-025-61409-6,Nature Communications,1,2025,-
Integrated Sensing and Communication Under DISCO Physical-Layer Jamming Attacks,"Huan-huan Huang, Hongliang Zhang, Weidong Mei, Jun Li, Yi Cai, A. L. Swindlehurst, Zhu Han",10.1109/LWC.2024.3439398,https://doi.org/10.1109/LWC.2024.3439398,IEEE Wireless Communications Letters,4,2024,-
Communications-Centric Secure ISAC with Hybrid Reconfigurable Intelligent Surfaces,"Ioannis Gavras, George C. Alexandropoulos",-,-,-,1,2025,-
Multiple Access for Spectral Efficient Active RIS-Aided ISAC Systems,"Kun–Lin Jiang, S. Pala, Soumen Mondal, Keshav Singh, Chih-Peng Li",10.1109/WCNC61545.2025.10978247,https://doi.org/10.1109/WCNC61545.2025.10978247,IEEE Wireless Communications and Networking Conference,0,2025,-
Transmitter Side Beyond-Diagonal RIS for mmWave Integrated Sensing and Communications,"Kexin Chen, Yijie Mao",10.1109/SPAWC60668.2024.10693959,https://doi.org/10.1109/SPAWC60668.2024.10693959,International Workshop on Signal Processing Advances in Wireless Communications,11,2024,-
Cooperative NOMA Meets Emerging Technologies: A Survey for Next-Generation Wireless Networks,"Mahmoud M. Salim, S. Al-Dharrab, Daniel Benevides Da Costa, Ali H. Muqaibel",10.48550/arXiv.2505.16327,https://doi.org/10.48550/arXiv.2505.16327,arXiv.org,0,2025,-
STAR-RIS Aided Secure NOMA Integrated Sensing and Communication,"Wenjing Wei, Xiaowei Pang, Chengwen Xing, Nan Zhao, Dusist Niyato",10.1109/TWC.2024.3374728,https://doi.org/10.1109/TWC.2024.3374728,IEEE Transactions on Wireless Communications,20,2024,-
Joint Rate Splitting and Beamforming Design for RSMA-RIS-Assisted ISAC System,"Zhengchuan Chen, Jing Wang, Zhong Tian, Min Wang, Yunjian Jia, Tony Q. S. Quek",10.1109/LWC.2023.3324951,https://doi.org/10.1109/LWC.2023.3324951,IEEE Wireless Communications Letters,23,2024,-
Sensor-integrated RIS Unit Element featuring Mutual Coupling Reduction,"Myeonggin Hwang, Youngno Youn, Suho Chang, Daehyeon Kim, Cheonga Lee, Donggeun An, W. Hong",10.1109/RFIT54256.2022.9882481,https://doi.org/10.1109/RFIT54256.2022.9882481,International Symposium on Radio-Frequency Integration Technology,6,2022,-
Joint design of transmit waveform and passive beamforming for RIS-assisted ISAC system,"Dong-Chun An, Jinfeng Hu, Chongwen Huang",10.2139/ssrn.4123083,https://doi.org/10.2139/ssrn.4123083,Signal Processing,14,2022,-
Hybrid-RIS Empowered UAV-Aided ISAC Systems,"Prajwalita Saikia, Anand Jee, Keshav Singh, Theodoros A. Tsiftsis, Alexandros–Apostolos A. Boulogeorgos",10.1109/VTC2024-Fall63153.2024.10757581,https://doi.org/10.1109/VTC2024-Fall63153.2024.10757581,2024 IEEE 100th Vehicular Technology Conference (VTC2024-Fall),1,2024,-
Joint Waveform and Reflection Design for Sensing-Assisted Secure RIS-Based Backscatter Communication,"Fanghao Xia, Zesong Fei, Xinyi Wang, Peng Liu, Jing Guo, Qingqing Wu",10.1109/LWC.2024.3381163,https://doi.org/10.1109/LWC.2024.3381163,IEEE Wireless Communications Letters,13,2024,-
Sensing Safety Analysis for Vehicular Networks with Integrated Sensing and Communication (ISAC),"Tingyu Shui, Walid Saad, Mingzhe Chen",10.48550/arXiv.2505.01688,https://doi.org/10.48550/arXiv.2505.01688,arXiv.org,0,2025,-
Sensing-Then-Beamforming: Robust Transmission Design for RIS-Empowered Integrated Sensing and Covert Communication,"Xingyu Zhao, Min Li, Mingming Zhao, Shihao Yan, Minjian Zhao",10.48550/arXiv.2504.13741,https://doi.org/10.48550/arXiv.2504.13741,arXiv.org,0,2025,-
Simultaneous Communications and Sensing with Hybrid Reconfigurable Intelligent Surfaces,"Ioannis Gavras, G. C. Alexandropoulos",10.23919/EuCAP63536.2025.10999482,https://doi.org/10.23919/EuCAP63536.2025.10999482,European Conference on Antennas and Propagation,4,2024,-
Signal Enhancing: Bi-Static ISAC with IRS-Mounted Target,"Lingqin Kong, Xiaowei Pang, Jie Tang, Nan Zhao, Xianbin Wang, Naofal Aldhahir",10.1109/ICCC62479.2024.10681893,https://doi.org/10.1109/ICCC62479.2024.10681893,International Conference on Innovative Computing and Cloud Computing,1,2024,-
Applications of Reconfigurable Intelligent Surface for Integrated Sensing and Communication,"刘让 Liu, Rang ，罗泓昊, Luo, Honghao ，李明, Li",-,-,-,0,2022,-
Energy-Efficient Near-Field Integrated Sensing and Communication: A Comprehensive Review,"Mahnoor Anjum, Muhammad Abdullah Khan, Deepak Mishra, Haejoon Jung, Aruna Seneviratne",10.3390/en18143682,https://doi.org/10.3390/en18143682,Energies,0,2025,-
Feasibility of RFID-Based Control of Reconfigurable Intelligent Surfaces (RISs) for Wireless Communication Systems,"Francesco Lestini, G. Marrocco, C. Occhiuzzi",10.1109/RFID-TA58140.2023.10290619,https://doi.org/10.1109/RFID-TA58140.2023.10290619,IEEE International Conference on RFID-Technologies and Applications,7,2023,-
Active RIS Aided Integrated Sensing and Communication Systems,"Zhiyuan Yu, Gui Zhou, Hong Ren, Cunhua Pan, Boshi Wang, M. Dong, Jiangzhou Wang",10.48550/arXiv.2302.08934,https://doi.org/10.48550/arXiv.2302.08934,arXiv.org,5,2023,-
Design of ISAC Directional Modulation Exploring Reconfigurable Intelligent Surface,"Jiyuan Fan, Bo Zhang, Baoju Zhang, Yuan Ding, Taekon Kim, Maolin Lin",10.1109/ICCC62609.2024.10942207,https://doi.org/10.1109/ICCC62609.2024.10942207,International Conference on Innovative Computing and Cloud Computing,0,2024,-
Emerging AI and 6G-Based User Localization Technologies for Emergencies and Disasters,"Ali A. Alnoman, A. Khwaja, A. Anpalagan, Isaac Woungang",10.1109/ACCESS.2024.3521005,https://doi.org/10.1109/ACCESS.2024.3521005,IEEE Access,4,2024,-
Beamforming design for RIS-aided MIMO ISAC Systems based on Mutual Information,"Jin Li, Gui Zhou, Tantao Gong, Nan Liu",10.1109/PIMRC59610.2024.10817170,https://doi.org/10.1109/PIMRC59610.2024.10817170,"IEEE International Symposium on Personal, Indoor and Mobile Radio Communications",1,2024,-
Arbitrary Waveform Generated Metasurface: A New Paradigm for Direct Modulation and Beamforming Decoupling,"X. Dong, Bokai Lai, Rujing Xiong, Jianan Zhang, Miyu Feng, Tiebin Mi, R. C. Qiu",10.48550/arXiv.2407.04544,https://doi.org/10.48550/arXiv.2407.04544,arXiv.org,0,2024,-
ML-Driven Resource Optimization in Active-Star-RIS-Aided THz ISAC Systems with DDA Modulation,"Sravani Kurma, Keshav Singh, Shahid Mumtaz, Theodoros A. Tsiftsis, Chih-Peng Li",10.1109/ICC51166.2024.10622984,https://doi.org/10.1109/ICC51166.2024.10622984,ICC 2024 - IEEE International Conference on Communications,0,2024,-
Transmit Beamforming Design for ISAC With Stacked Intelligent Metasurfaces,"Shunyu Li, Fan Zhang, Tianqi Mao, Rui Na, Zhaocheng Wang, G. Karagiannidis",10.1109/TVT.2024.3517709,https://doi.org/10.1109/TVT.2024.3517709,IEEE Transactions on Vehicular Technology,11,2024,-
"Green Integration of Sensing, Communication, and Power Transfer via STAR-RIS","Vaibhav Kumar, Marwa Chafii",-,-,-,0,2025,-
Robust Secure ISAC: How RSMA and Active RIS Manage Eavesdropper's Spatial Uncertainty,"A. A. Salem, Saeed Abdallah, Mohamed Saad, Khawla A. Alnajjar, Mahmoud A. M. Albreem",-,-,-,4,2024,-
RIS-Assisted Near-Field Integrated Sensing and Symbiotic Radio Systems,"Zhengyu Zhu, Mengke Ning, Gangcan Sun, Qingqing Guo, Zheng Chu, Inkyu Lee",10.1109/ICCT62411.2024.10946544,https://doi.org/10.1109/ICCT62411.2024.10946544,International Conference on Speech Technology and Human-Computer Dialogue,0,2024,-
Sensing-Based Beamforming Design for Joint Performance Enhancement of RIS-Aided ISAC Systems,"Xi Qian, Xiaoling Hu, Chenxi Liu, M. Peng, C. Zhong",10.1109/TCOMM.2023.3299980,https://doi.org/10.1109/TCOMM.2023.3299980,IEEE Transactions on Communications,26,2023,-
RIS-Aided ISAC Waveform Design via Parallel Product Complex Circle Manifold,"Kai Zhong, Dong-Chun An, Ruoyu Jiang, Jinfeng Hu, Cunhua Pan",10.1109/GLOBECOM54140.2023.10437484,https://doi.org/10.1109/GLOBECOM54140.2023.10437484,Global Communications Conference,2,2023,-
Integrated Sensing and Communications for Reconfigurable Intelligent Surface-Aided Cell-Free Networks,"Shanza Shakoor, Quang Nhat Le, Een-Kee Hong, Berk Canberk, T. Duong",10.1109/LCOMM.2025.3558995,https://doi.org/10.1109/LCOMM.2025.3558995,IEEE Communications Letters,0,2025,-
DRL-Based Secure Beamforming Design for RIS-Assisted ISAC System: A CRB Perspective,"Shuo Yang, Wu Luo",10.1109/FCN64323.2024.10985056,https://doi.org/10.1109/FCN64323.2024.10985056,2024 International Conference on Future Communications and Networks (FCN),0,2024,-
Modeling and Coverage Analysis of RIS-Assisted Integrated Sensing and Communication Networks,"Xu Gan, Chongwen Huang, Zhaohui Yang, Xiaoming Chen, Faouzi Bader, Zhaoyang Zhang, Chau Yuen, Yong Liang Guan, Mérouane Debbah",10.1109/TWC.2025.3550903,https://doi.org/10.1109/TWC.2025.3550903,IEEE Transactions on Wireless Communications,1,2025,-
STAR-RIS Aided Dynamic Scatterers Tracking for Integrated Sensing and Communications,"Muye Li, Shun Zhang, Yao Ge, Chau Yuen",10.1109/TVT.2025.3527753,https://doi.org/10.1109/TVT.2025.3527753,IEEE Transactions on Vehicular Technology,2,2025,-
RIS-Empowered Integrated Location Sensing and Communication with Superimposed Pilots,"Wenchao Xia, Ben Zhao, Wankai Tang, Yongxu Zhu, kai-kit Wong, S. Lambotharan, Hyundong Shin",10.1109/tcomm.2025.3557994,https://doi.org/10.1109/tcomm.2025.3557994,IEEE Transactions on Communications,1,2025,-
Joint Trajectory and Resource Allocation Design for RIS-Assisted UAV-Enabled ISAC Systems,"Zhongqing Wu, Xuehua Li, Yuanxin Cai, Weijie Yuan",10.1109/LWC.2024.3370989,https://doi.org/10.1109/LWC.2024.3370989,IEEE Wireless Communications Letters,13,2024,-
RIS-Enhanced Beamwidth-Adjustable Sensing Framework: A Stationary Phase Method-Based Approach,"Zhiang Li, Jide Yuan, Huan Huang, Zhe Li, Yuli Yang",10.1109/LCOMM.2025.3569907,https://doi.org/10.1109/LCOMM.2025.3569907,IEEE Communications Letters,0,2025,-
Qualitative Survey on Artificial Intelligence Integrated Blockchain Approach for 6G and Beyond,"Vivek Pathak, R. Pandya, V. Bhatia, O. A. López",10.1109/ACCESS.2023.3319083,https://doi.org/10.1109/ACCESS.2023.3319083,IEEE Access,8,2023,-
Beyond Diagonal RIS for ISAC Network: Statistical Analysis and Network Parameter Estimation,"T. Nguyen, Georges Kaddoum, Bassant Selim, Chadi Assi",-,-,-,1,2025,-
A Tensor-Based Signal Processing for ISAC Using C-DRCNN in RIS-Assisted mmWave MIMO-OFDM Systems,"Jianhe Du, Miaomiao He, Jingjing He, Jianbo Liu, Libiao Jin, Yalin Guan",10.1109/JIOT.2024.3412209,https://doi.org/10.1109/JIOT.2024.3412209,IEEE Internet of Things Journal,1,2024,-
"Joint Beamforming for RIS-Assisted Integrated Communication, Sensing and Power Transfer Systems","Yue Yang, Hui Gao, Xiaoyu Yang, Ruohan Cao, Yongjian Fan",10.1109/LWC.2023.3327360,https://doi.org/10.1109/LWC.2023.3327360,IEEE Wireless Communications Letters,7,2024,-
Joint Design for STAR-RIS Aided ISAC: Decoupling or Learning,"Jifa Zhang, Shiqi Gong, Weidang Lu, Chengwen Xing, Nan Zhao, Derrick Wing Kwan Ng, Dusist Niyato",10.1109/TWC.2024.3413089,https://doi.org/10.1109/TWC.2024.3413089,IEEE Transactions on Wireless Communications,8,2024,-
Simultaneous Communication and Localization for Double-RIS Aided Multi-UE ISAC Systems,"Xu Gan, Chongwen Huang, Zhaohui Yang, Caijun Zhong, Xiaoming Chen, Jiguang He, Zhaoyang Zhang, Qinghua Guo, Chau Yuen, Mérouane Debbah",10.1109/ICCT59356.2023.10419401,https://doi.org/10.1109/ICCT59356.2023.10419401,International Conference on Speech Technology and Human-Computer Dialogue,6,2023,-
Simultaneous Beam Training and Target Sensing for RIS-Aided Integrated Sensing and Communication,"Kangjian Chen, Chenhao Qi, O. Dobre",10.1109/ICC45041.2023.10279742,https://doi.org/10.1109/ICC45041.2023.10279742,ICC 2023 - IEEE International Conference on Communications,1,2023,-
Intelligent Metasurface-Enabled Integrated Sensing and Communication: Unified Framework and Key Technologies,"Shunyu Li, Tianqi Mao, Guangyao Liu, Fan Zhang, Ruiqi Liu, Meng Hua, Zhen Gao, Qingqing Wu, G. Karagiannidis",-,-,-,0,2025,-
RIS-Assisted Full-Duplex Integrated Sensing and Communication,"Quang Nhat Le, Van-Dinh Nguyen, O. Dobre, Hyundong Shin",10.1109/LWC.2023.3285391,https://doi.org/10.1109/LWC.2023.3285391,IEEE Wireless Communications Letters,13,2023,-
Joint Beamforming for RIS Aided Full-Duplex Integrated Sensing and Uplink Communication,"Yuanchen Guo, Yang Liu, Qing-He Wu, Xin Zeng, Qingjiang Shi",10.1109/ICC45041.2023.10279303,https://doi.org/10.1109/ICC45041.2023.10279303,ICC 2023 - IEEE International Conference on Communications,2,2023,-
Exploiting RIS in Secure Beamforming Design for NOMA-Assisted Integrated Sensing and Communication,"Chengjun Jiang, Chensi Zhang, Chongwen Huang, Jianhua Ge, Mérouane Debbah, Chau Yuen",10.1109/JIOT.2024.3416319,https://doi.org/10.1109/JIOT.2024.3416319,IEEE Internet of Things Journal,8,2024,-
Characterization of Unit Cells of a Reconfigurable Intelligence Surface Integrated with Sensing Capability at the mmWave Frequency Band,"Biswarup Rana, Sung‐Sil Cho, Ic‐Pyo Hong",10.3390/electronics13091689,https://doi.org/10.3390/electronics13091689,Electronics,4,2024,-
Model-Driven Deep Learning for Joint Waveform and Beamforming Design in RIS-ISAC Systems,"Peng Jiang, Rang Liu, Ming Li, Wei Wang, Qian Liu",10.1109/VTC2024-Fall63153.2024.10757550,https://doi.org/10.1109/VTC2024-Fall63153.2024.10757550,2024 IEEE 100th Vehicular Technology Conference (VTC2024-Fall),2,2024,-
Joint Beamforming Optimization for RIS-Aided ISAC Security Systems,"Jiahui Hao, Xuerong Zhao, Zhe Sun, Yongkang Wang, Gonghao Cui, Yunhui Yi",10.1109/WCCCT65447.2025.11027929,https://doi.org/10.1109/WCCCT65447.2025.11027929,2025 8th World Conference on Computing and Communication Technologies (WCCCT),0,2025,-
RIS-Assisted High-Speed Railway Integrated Sensing and Communication System,"Panpan Li, Yong Niu, Hao Wu, Zhu Han, Guiqi Sun, Ning Wang, Z. Zhong, B. Ai",10.1109/TVT.2023.3288899,https://doi.org/10.1109/TVT.2023.3288899,IEEE Transactions on Vehicular Technology,11,2023,-
Multifunctional Reconfigurable Intelligent Surface for Wideband Beamforming and Frequency-and-Spatial-Diverse Microwave Sensing,"Baiyang Liu, Qingfeng Zhang, Hang Wong",10.1109/TAP.2024.3519781,https://doi.org/10.1109/TAP.2024.3519781,IEEE Transactions on Antennas and Propagation,0,2025,-
STAR-RIS-Assisted Communication Radar Coexistence: Analysis and Optimization,"Anastasios K. Papazafeiropoulos, P. Kourtessis, S. Chatzinotas",10.1109/TVT.2024.3394521,https://doi.org/10.1109/TVT.2024.3394521,IEEE Transactions on Vehicular Technology,3,2024,-
Multi-Functional Reconfigurable Intelligent Surfaces for Enhanced Sensing and Communication,"Khushboo Singh, Mondeep Saikia, K. Thiyagarajan, D. Thalakotuna, K. Esselle, S. Kodagoda",10.3390/s23208561,https://doi.org/10.3390/s23208561,Italian National Conference on Sensors,13,2023,-
XL-RIS Enabled Near-Field Integrated Sensing and Wireless Power Transfer,"Ping Sun, Yongsheng Ma, Qianyu Yang, Haibo Dai, Baoyun Wang",10.1109/JIOT.2025.3567568,https://doi.org/10.1109/JIOT.2025.3567568,IEEE Internet of Things Journal,0,2025,-
The Current Progress and Future Prospects of Path Loss Model for Terrestrial Radio Propagation,"Jian Wang, Yulong Hao, Cheng Yang",10.3390/electronics12244959,https://doi.org/10.3390/electronics12244959,Electronics,5,2023,-
Secure Beamforming for RIS-Aided ISAC System With CRB Minimization,"Shuo Yang, Chenhao Qi, Wei-Jian Ci, Wu Luo",10.1109/LCOMM.2025.3562748,https://doi.org/10.1109/LCOMM.2025.3562748,IEEE Communications Letters,1,2025,-
Achievable Sum Secrecy Rate of STAR-RIS-Enabled MU-MIMO ISAC,"Ainara Kazymova, Vaibhav Kumar, Christina Popper, Marwa Chafii",-,-,-,1,2025,-
Maximizing Geometric Mean Rate in RIS-Assisted Integrated Sensing and Communication Systems,"Jitendra Singh, Suraj Srivastava, A. Jagannatham",10.1109/WCNC61545.2025.10978408,https://doi.org/10.1109/WCNC61545.2025.10978408,IEEE Wireless Communications and Networking Conference,0,2025,-
Beamforming Design for RIS-Aided ISCC in Internet of Vehicles Systems,"Ruihang Yang, Dezhi Wang, Shiyin Zhu, Chen Zhu, Jianrong Bao, Zhaohui Yang, Chongwen Huang",10.1109/JIOT.2024.3523403,https://doi.org/10.1109/JIOT.2024.3523403,IEEE Internet of Things Journal,0,2025,-
STAR-RIS Assisted Massive MIMO ISAC System with Partial Zero-Forcing Precoding,"Ashwani Kumar, Malay Chakraborty, Dwikul Jyoti Das, Abhilash Ranjan, Ekant Sharma",10.1109/WCNC61545.2025.10978628,https://doi.org/10.1109/WCNC61545.2025.10978628,IEEE Wireless Communications and Networking Conference,0,2025,-
"STAR-RIS-Aided Integrated Sensing, Computing, and Communication for Internet of Robotic Things","Haochen Li, Xidong Mu, Yuanwei Liu, Yue Chen, Zhiwen Pan",10.1109/JIOT.2024.3447574,https://doi.org/10.1109/JIOT.2024.3447574,IEEE Internet of Things Journal,3,2024,-
Joint Channel and Direction Estimation for Ground-to-UAV Communications Enabled by a Simultaneous Reflecting and Sensing RIS,"Jiguang He, Aymen Fakhreddine, G. C. Alexandropoulos",10.1109/ICASSP49357.2023.10096860,https://doi.org/10.1109/ICASSP49357.2023.10096860,"IEEE International Conference on Acoustics, Speech, and Signal Processing",9,2022,-
AI-Enabled STAR-RIS Aided MISO ISAC Secure Communications,"Zhengyu Zhu, Mengfei Gong, Gangcan Sun, Peijia Liu, De Mi",10.26599/tst.2024.9010086,https://doi.org/10.26599/tst.2024.9010086,Tsinghua Science and Technology,15,2024,-
From Reconfigurable Intelligent Surfaces to Holographic MIMO Surfaces and Back,"Ashwin Thelappilly Joy, A. Tishchenko, Hamidreza Taghvaee, Paul Botham, F. Burton, Mohsen Khalily, Rahim Tafazolli",10.23919/EuCAP60739.2024.10501134,https://doi.org/10.23919/EuCAP60739.2024.10501134,European Conference on Antennas and Propagation,5,2024,-
Simultaneous High-Efficiency Anomalous Reflection and Angle of Arrival Sensing in Reconfigurable Intelligent Surfaces,"M. Movahediqomi, Yongming Li, G. Ptitcyn, V. Asadchy, S. Tretyakov",-,-,-,4,2024,-
Joint Beamforming Design for the STAR-RIS-Enabled ISAC Systems With Multiple Targets and Multiple Users,"Shuang Zhang, Wanming Hao, Gangcan Sun, Zhengyu Zhu, Xingwang Li, Qingqing Wu",10.1109/TCOMM.2024.3439446,https://doi.org/10.1109/TCOMM.2024.3439446,IEEE Transactions on Communications,4,2024,-
"Transforming ISAC With STAR-RIS: Design, Challenges, and Opportunities","Muhammad Umer, S. Basharat, S. Hassan, Aamir Mahmood, Mikael Gidlund",10.1109/MNET.2024.3486352,https://doi.org/10.1109/MNET.2024.3486352,IEEE Network,2,2025,-
Circular RIS-Enabled Channel Estimation and Localization for Multi-User ISAC Systems,"Yuxing Lin, Shi Jin, M. Matthaiou, Xinping Yi",10.1109/TWC.2024.3353858,https://doi.org/10.1109/TWC.2024.3353858,IEEE Transactions on Wireless Communications,2,2024,-
Performance Analysis of NOMA-Enabled Active RIS-Aided MIMO Heterogeneous IoT Networks With Integrated Sensing and Communication,"A. Parihar, Keshav Singh, Vimal Bhatia, Chih-Peng Li, T. Duong",10.1109/JIOT.2024.3416951,https://doi.org/10.1109/JIOT.2024.3416951,IEEE Internet of Things Journal,11,2024,-
Joint Active and Passive Beamforming in RIS-Assisted Secure ISAC Systems,"Jinsong Chen, Kai Wu, Jinping Niu, Yanyan Li",10.3390/s24010289,https://doi.org/10.3390/s24010289,Italian National Conference on Sensors,9,2024,-
Beamforming and Reflection Design for Short Packet ISAC With Non-Ideal RIS: An A3C-Based Approach,"Behrad Mahmoudi, Ahmad Khonsari, Farshad Zeinali, Mohammad Robat Mili, Mahdi Boloursaz Mashhadi, Pei Xiao",10.1109/TVT.2025.3525525,https://doi.org/10.1109/TVT.2025.3525525,IEEE Transactions on Vehicular Technology,1,2025,-
Optimizing Reconfigurable Intelligent Surface-Assisted Integrated Sensing and Communication Systems,"Mohamed I. Ismail, Abdullah M. Shaheen, Mostafa M. Fouda, Ahmed S. Alwakeel",10.1109/VCC60689.2023.10474986,https://doi.org/10.1109/VCC60689.2023.10474986,2023 IEEE Virtual Conference on Communications (VCC),1,2023,-
Integrated Sensing and Communication Beamforming Design in RIS-Assisted Symbiotic Radio System,"Yangfan Wang, Xin Wang",10.3390/electronics14102016,https://doi.org/10.3390/electronics14102016,Electronics,0,2025,-
Sum Rate and Cramér-Rao Lower Bound Analysis for RIS-Assisted Multiuser Large-Antenna ISAC,"Smriti Uniyal, N. Nguyen, Guddu Kumar, M. Di Renzo, Markku J. Juntti",10.1109/WCNC61545.2025.10978368,https://doi.org/10.1109/WCNC61545.2025.10978368,IEEE Wireless Communications and Networking Conference,0,2025,-
Frequency Diverse Array-enabled RIS-aided Integrated Sensing and Communication,"Hanyu Yang, Shiqi Gong, Heng Liu, Chengwen Xing, Nan Zhao, D. Niyato",10.48550/arXiv.2410.00376,https://doi.org/10.48550/arXiv.2410.00376,IEEE Transactions on Wireless Communications,1,2024,-
Empowering ISAC Systems With Federated Learning: A Focus on Satellite and RIS-Enhanced Terrestrial Integrated Networks,"S. Pala, Keshav Singh, Chih-Peng Li, O. Dobre",10.1109/TWC.2024.3502394,https://doi.org/10.1109/TWC.2024.3502394,IEEE Transactions on Wireless Communications,4,2025,-
Reconfigurable Intelligent Surface-Enabled Integrated Sensing and Communication in 6G,"Xiaoling Hu, Chenxi Liu, Mugen Peng, Caijun Zhong",10.1007/978-981-99-8299-8,https://doi.org/10.1007/978-981-99-8299-8,Wireless networks,0,2024,-
Faulty RIS-aided Integrated Sensing and Communication: Modeling and Optimization,"Lu Wang, Gui Zhou, Changheng Li, L. F. Abanto-Leon, Nairy Moghadas Gholian, Matthias Hollick, Arash Asadi",-,-,-,0,2025,-
Hybrid NOMA Assisted Integrated Sensing and Communication via RIS,"Wanting Lyu, Yue Xiu, Xinyang Li, Songjie Yang, Phee Lep Yeoh, Yonghui Li, Zhongpei Zhang",10.1109/TVT.2023.3343379,https://doi.org/10.1109/TVT.2023.3343379,IEEE Transactions on Vehicular Technology,19,2023,-
"Channel Measurement, Modeling, and Simulation for 6G: A Survey and Tutorial","Jianhua Zhang, Jia-Hong Lin, Pan Tang, Yuxiang Zhang, Hui Xu, Tian Gao, Haiyang Miao, Zeyong Chai, Zhengfu Zhou, Yi Li, Hui-zhi Gong, Yameng Liu, Zhiqiang Yuan, Lei Tian, Shaoshi Yang, Liang Xia, Guangyi Liu, Ping Zhang",-,-,-,60,2023,-
Near-Field RIS-Assisted Localization Under Mutual Coupling,"Alireza Fadakar, M. F. Keskin, Hui Chen, Henk Wymeersch, A. Molisch",-,-,-,0,2025,-
Power Minimization Beamforming Design for Active RIS-Assisted ISAC System,"Lei Yin, Ming Jin, Yaming Li, Yinhong Liu, Chaodi Chen, Huifang Zhang",10.1109/ICCSN63464.2024.10793337,https://doi.org/10.1109/ICCSN63464.2024.10793337,2024 16th International Conference on Communication Software and Networks (ICCSN),0,2024,-
"RIS-Enabled Integrated Sensing, Computing, and Communication for Internet of Robotic Things","Jiale Shu, K. Ota, Mianxiong Dong",10.1109/JIOT.2024.3451552,https://doi.org/10.1109/JIOT.2024.3451552,IEEE Internet of Things Journal,4,2024,-
"Reconfigurable Intelligent Surface for Sensing, Communication, and Computation: Perspectives, Challenges, and Opportunities","Bin Li, Wancheng Xie, Zesong Fei",10.1109/IOTM.001.2300177,https://doi.org/10.1109/IOTM.001.2300177,IEEE Internet of Things Magazine,1,2024,-
Sensing-Communication-Security Enhanced Integrated Satellite and Terrestrial Network with Active Reconfigurable Intelligent Surface,"Chao Ren, Junjie Xu, Haijun Zhang, Chunlei Sun",10.1109/WCSP62071.2024.10826782,https://doi.org/10.1109/WCSP62071.2024.10826782,International Conference on Wireless Communications and Signal Processing,0,2024,-
Joint Mode Selection and Beamforming Designs for Hybrid-RIS-Assisted ISAC Systems,"Yingbin Lin, Feng Wang, Xiao Zhang, Guojun Han, Vincent K. N. Lau",10.1109/LWC.2025.3553891,https://doi.org/10.1109/LWC.2025.3553891,IEEE Wireless Communications Letters,0,2025,-
Graph Neural Networks for Next-Generation-IoT: Recent Advances and Open Challenges,"Nguyen Xuan Tung, Le Tung Giang, Bui Duc Son, Seon-Geun Jeong, Trinh Van Chien, W. Hwang, Lajos Hanzo",10.48550/arXiv.2412.20634,https://doi.org/10.48550/arXiv.2412.20634,arXiv.org,1,2024,-
"“Zero-Power” Additively Manufactured FHE-Enabled Wireless/5G+ Ultrabroadband Modules for IoT, Industry 4.0 and Smart Cities Applications","K. Hu, M. Tentzeris",10.4071/001c.128405,https://doi.org/10.4071/001c.128405,IMAPSource Proceedings,0,2025,-
